Module,Short Name,Annotation resource,Raw p,Significance
globalmet.globalmet_mod0,Betaine Metabolism,SMPDB,0.299,Not Significant
globalmet.globalmet_mod0,Citric Acid Cycle,SMPDB,0.32,Not Significant
globalmet.globalmet_mod0,Transfer of Acetyl Groups into Mitochondria,SMPDB,0.337,Not Significant
globalmet.globalmet_mod0,Taurine and Hypotaurine Metabolism,SMPDB,0.351,Not Significant
globalmet.globalmet_mod0,Glucose-Alanine Cycle,SMPDB,0.403,Not Significant
globalmet.globalmet_mod0,Mitochondrial Electron Transport Chain,SMPDB,0.431,Not Significant
globalmet.globalmet_mod0,Pyrimidine Metabolism,SMPDB,0.46,Not Significant
globalmet.globalmet_mod0,Lactose Degradation,SMPDB,0.485,Not Significant
globalmet.globalmet_mod0,De Novo Triacylglycerol Biosynthesis,SMPDB,0.485,Not Significant
globalmet.globalmet_mod0,Methionine Metabolism,SMPDB,0.486,Not Significant
globalmet.globalmet_mod0,Malate-Aspartate Shuttle,SMPDB,0.544,Not Significant
globalmet.globalmet_mod0,Beta-Alanine Metabolism,SMPDB,0.562,Not Significant
globalmet.globalmet_mod0,Gluconeogenesis,SMPDB,0.593,Not Significant
globalmet.globalmet_mod0,Beta Oxidation of Very Long Chain Fatty Acids,SMPDB,0.593,Not Significant
globalmet.globalmet_mod0,Alanine Metabolism,SMPDB,0.593,Not Significant
globalmet.globalmet_mod0,Phosphatidylinositol Phosphate Metabolism,SMPDB,0.593,Not Significant
globalmet.globalmet_mod0,Cardiolipin Biosynthesis,SMPDB,0.599,Not Significant
globalmet.globalmet_mod0,Cysteine Metabolism,SMPDB,0.693,Not Significant
globalmet.globalmet_mod0,Warburg Effect,SMPDB,0.712,Not Significant
globalmet.globalmet_mod0,Glycine and Serine Metabolism,SMPDB,0.732,Not Significant
globalmet.globalmet_mod0,Phenylalanine and Tyrosine Metabolism,SMPDB,0.75,Not Significant
globalmet.globalmet_mod0,Aspartate Metabolism,SMPDB,0.761,Not Significant
globalmet.globalmet_mod0,Carnitine Synthesis,SMPDB,0.769,Not Significant
globalmet.globalmet_mod0,Urea Cycle,SMPDB,0.775,Not Significant
globalmet.globalmet_mod0,Galactose Metabolism,SMPDB,0.823,Not Significant
globalmet.globalmet_mod0,Thiamine Metabolism,SMPDB,0.824,Not Significant
globalmet.globalmet_mod0,Homocysteine Degradation,SMPDB,0.824,Not Significant
globalmet.globalmet_mod0,Glycerolipid Metabolism,SMPDB,0.841,Not Significant
globalmet.globalmet_mod0,Glycolysis,SMPDB,0.841,Not Significant
globalmet.globalmet_mod0,Arginine and Proline Metabolism,SMPDB,0.849,Not Significant
globalmet.globalmet_mod0,Spermidine and Spermine Biosynthesis,SMPDB,0.851,Not Significant
globalmet.globalmet_mod0,Pyruvaldehyde Degradation,SMPDB,0.855,Not Significant
globalmet.globalmet_mod0,Butyrate Metabolism,SMPDB,0.872,Not Significant
globalmet.globalmet_mod0,Glycerol Phosphate Shuttle,SMPDB,0.881,Not Significant
globalmet.globalmet_mod0,Trehalose Degradation,SMPDB,0.881,Not Significant
globalmet.globalmet_mod0,Glutamate Metabolism,SMPDB,0.885,Not Significant
globalmet.globalmet_mod0,Fatty Acid Biosynthesis,SMPDB,0.887,Not Significant
globalmet.globalmet_mod0,Lactose Synthesis,SMPDB,0.89,Not Significant
globalmet.globalmet_mod0,Phosphatidylethanolamine Biosynthesis,SMPDB,0.902,Not Significant
globalmet.globalmet_mod0,Glutathione Metabolism,SMPDB,0.906,Not Significant
globalmet.globalmet_mod0,Pantothenate and CoA Biosynthesis,SMPDB,0.906,Not Significant
globalmet.globalmet_mod0,Phospholipid Biosynthesis,SMPDB,0.907,Not Significant
globalmet.globalmet_mod0,Ketone Body Metabolism,SMPDB,0.919,Not Significant
globalmet.globalmet_mod0,Thyroid hormone synthesis,SMPDB,0.919,Not Significant
globalmet.globalmet_mod0,Phosphatidylcholine Biosynthesis,SMPDB,0.933,Not Significant
globalmet.globalmet_mod0,Ammonia Recycling,SMPDB,0.939,Not Significant
globalmet.globalmet_mod0,Oxidation of Branched Chain Fatty Acids,SMPDB,0.958,Not Significant
globalmet.globalmet_mod0,Phytanic Acid Peroxisomal Oxidation,SMPDB,0.958,Not Significant
globalmet.globalmet_mod0,Inositol Phosphate Metabolism,SMPDB,0.958,Not Significant
globalmet.globalmet_mod0,Mitochondrial Beta-Oxidation of Short Chain Saturated Fatty Acids,SMPDB,0.964,Not Significant
globalmet.globalmet_mod0,Riboflavin Metabolism,SMPDB,0.979,Not Significant
globalmet.globalmet_mod0,Pyruvate Metabolism,SMPDB,0.98,Not Significant
globalmet.globalmet_mod0,Starch and Sucrose Metabolism,SMPDB,0.982,Not Significant
globalmet.globalmet_mod0,Fructose and Mannose Degradation,SMPDB,0.985,Not Significant
globalmet.globalmet_mod0,Purine Metabolism,SMPDB,0.985,Not Significant
