Module,Feature
globalmet.globalmet_mod6,carnitine
globalmet.globalmet_mod0,benzoate
globalmet.globalmet_mod11,3-phenylpropionate (hydrocinnamate)
globalmet.globalmet_mod11,phenylacetate
globalmet.globalmet_mod0,hippurate
globalmet.globalmet_mod6,xanthurenate
globalmet.globalmet_mod5,suberate (C8-DC)
globalmet.globalmet_mod20,3-methyl-2-oxovalerate
globalmet.globalmet_mod0,methionine sulfoxide
globalmet.globalmet_mod3,3-methylhistidine
globalmet.globalmet_mod31,4-acetamidophenylglucuronide
globalmet.globalmet_mod0,5-hydroxylysine
globalmet.globalmet_mod0,4-guanidinobutanoate
globalmet.globalmet_mod1,glucuronate
globalmet.globalmet_mod0,glycerol 3-phosphate
globalmet.globalmet_mod1,imidazole lactate
globalmet.globalmet_mod0,kynurenine
globalmet.globalmet_mod16,glycerophosphorylcholine (GPC)
globalmet.globalmet_mod1,N-acetylglutamate
globalmet.globalmet_mod0,tartarate
globalmet.globalmet_mod1,ribitol
globalmet.globalmet_mod0,2-isopropylmalate
globalmet.globalmet_mod21,theophylline
globalmet.globalmet_mod3,quinate
globalmet.globalmet_mod21,theobromine
globalmet.globalmet_mod21,paraxanthine
globalmet.globalmet_mod1,indolelactate
globalmet.globalmet_mod26,3-indoxyl sulfate
globalmet.globalmet_mod6,gamma-glutamylphenylalanine
globalmet.globalmet_mod20,4-methyl-2-oxopentanoate
globalmet.globalmet_mod0,"1,5-anhydroglucitol (1,5-AG)"
globalmet.globalmet_mod8,1-stearoyl-2-arachidonoyl-GPI (18:0/20:4)
globalmet.globalmet_mod15,sphingosine 1-phosphate
globalmet.globalmet_mod28,1-stearoyl-GPI (18:0)
globalmet.globalmet_mod0,"1,2-dipalmitoyl-GPC (16:0/16:0)"
globalmet.globalmet_mod4,docosahexaenoate (DHA; 22:6n3)
globalmet.globalmet_mod8,1-myristoyl-2-palmitoyl-GPC (14:0/16:0)
globalmet.globalmet_mod20,alpha-hydroxyisocaproate
globalmet.globalmet_mod1,maleate
globalmet.globalmet_mod20,isovalerate (i5:0)
globalmet.globalmet_mod2,4-acetylphenol sulfate
globalmet.globalmet_mod2,2-hydroxyoctanoate
globalmet.globalmet_mod0,levulinate (4-oxovalerate)
globalmet.globalmet_mod17,3-hydroxyoctanoate
globalmet.globalmet_mod35,phenyllactate (PLA)
globalmet.globalmet_mod23,palmitoylcarnitine (C16)
globalmet.globalmet_mod13,hexanoylcarnitine (C6)
globalmet.globalmet_mod0,N-acetylaspartate (NAA)
globalmet.globalmet_mod7,dehydroepiandrosterone sulfate (DHEA-S)
globalmet.globalmet_mod13,acetylcarnitine (C2)
globalmet.globalmet_mod0,isocaproate (i6:0)
globalmet.globalmet_mod0,cysteine s-sulfate
globalmet.globalmet_mod24,1-palmitoylglycerol (16:0)
globalmet.globalmet_mod0,tartronate (hydroxymalonate)
globalmet.globalmet_mod0,oxalate (ethanedioate)
globalmet.globalmet_mod1,erythritol
globalmet.globalmet_mod0,adipate (C6-DC)
globalmet.globalmet_mod0,saccharin
globalmet.globalmet_mod17,3-hydroxymyristate
globalmet.globalmet_mod0,iminodiacetate (IDA)
globalmet.globalmet_mod24,1-oleoylglycerol (18:1)
globalmet.globalmet_mod20,3-methyl-2-oxobutyrate
globalmet.globalmet_mod24,2-oleoylglycerol (18:1)
globalmet.globalmet_mod12,homoarginine
globalmet.globalmet_mod1,homocitrulline
globalmet.globalmet_mod24,2-linoleoylglycerol (18:2)
globalmet.globalmet_mod17,3-hydroxydecanoate
