Module (or Feature),Analysis,P value,Q value,Direction
globalmet.globalmet_mod0,Visit 1 analysis - overall,5.0829655261106237e-5,1.6421888622818938e-4,Severe
globalmet.globalmet_mod1,Visit 1 analysis - overall,2.6878245471187263e-10,2.8222157744746627e-9,Severe
globalmet.globalmet_mod10,Visit 1 analysis - overall,1.4782347812965367e-7,1.2417172162890907e-6,Severe
globalmet.globalmet_mod11,Visit 1 analysis - overall,0.4272570578787126,0.5607748884658103,Severe
globalmet.globalmet_mod12,Visit 1 analysis - overall,0.12773302590069255,0.22353279532621195,Mild
globalmet.globalmet_mod13,Visit 1 analysis - overall,8.014005188703787e-4,0.0021964609811311307,Severe
globalmet.globalmet_mod14,Visit 1 analysis - overall,8.36747040430907e-4,0.0021964609811311307,Mild
globalmet.globalmet_mod15,Visit 1 analysis - overall,0.26622600928616424,0.38754644613369715,Mild
globalmet.globalmet_mod16,Visit 1 analysis - overall,0.6793783207093592,0.6959485236534899,Severe
globalmet.globalmet_mod17,Visit 1 analysis - overall,0.21212076059913954,0.3426566132755331,Severe
globalmet.globalmet_mod18,Visit 1 analysis - overall,0.5953315354352925,0.6579980128495337,Mild
globalmet.globalmet_mod19,Visit 1 analysis - overall,0.4776296408810609,0.5767032684148924,Severe
globalmet.globalmet_mod2,Visit 1 analysis - overall,0.2550711838569986,0.38754644613369715,Mild
globalmet.globalmet_mod20,Visit 1 analysis - overall,0.4943170872127649,0.5767032684148924,Mild
globalmet.globalmet_mod21,Visit 1 analysis - overall,0.6596722058639214,0.6926558161571175,Mild
globalmet.globalmet_mod22,Visit 1 analysis - overall,0.2675915937589814,0.38754644613369715,Mild
globalmet.globalmet_mod23,Visit 1 analysis - overall,0.138454531995039,0.2326036137516655,Mild
globalmet.globalmet_mod24,Visit 1 analysis - overall,1.241643466143075e-5,7.449860796858451e-5,Severe
globalmet.globalmet_mod25,Visit 1 analysis - overall,0.04709218305711388,0.09418436611422776,Mild
globalmet.globalmet_mod26,Visit 1 analysis - overall,0.5379262164851093,0.6106189484425565,Severe
globalmet.globalmet_mod27,Visit 1 analysis - overall,0.6467788797944454,0.6926558161571175,Mild
globalmet.globalmet_mod28,Visit 1 analysis - overall,0.028932487865482637,0.06395602580790899,Severe
globalmet.globalmet_mod29,Visit 1 analysis - overall,3.887829260684373e-5,1.3607402412395305e-4,Severe
globalmet.globalmet_mod3,Visit 1 analysis - overall,3.2290471832850166e-12,4.520666056599024e-11,Mild
globalmet.globalmet_mod30,Visit 1 analysis - overall,0.4551689167057962,0.5767032684148924,Mild
globalmet.globalmet_mod31,Visit 1 analysis - overall,0.30007584926727815,0.42010618897418944,Severe
globalmet.globalmet_mod32,Visit 1 analysis - overall,0.0030636476605448637,0.0075690118672284866,Mild
globalmet.globalmet_mod33,Visit 1 analysis - overall,0.4814341129738105,0.5767032684148924,Mild
globalmet.globalmet_mod34,Visit 1 analysis - overall,0.0708614479799512,0.1352809461435432,Mild
globalmet.globalmet_mod35,Visit 1 analysis - overall,9.210211133132012e-13,1.9341443379577225e-11,Severe
globalmet.globalmet_mod36,Visit 1 analysis - overall,0.03825035687046461,0.08032574942797568,Severe
globalmet.globalmet_mod37,Visit 1 analysis - overall,0.016447624945678967,0.038377791539917584,Mild
globalmet.globalmet_mod38,Visit 1 analysis - overall,0.10832771435507776,0.19781582621362026,Mild
globalmet.globalmet_mod39,Visit 1 analysis - overall,1.7064719692905055e-4,5.119415907871516e-4,Mild
globalmet.globalmet_mod4,Visit 1 analysis - overall,1.9134568954672756e-5,8.036518960962557e-5,Severe
globalmet.globalmet_mod40,Visit 1 analysis - overall,1.5094268953143475e-5,7.924491200400324e-5,Severe
globalmet.globalmet_mod41,Visit 1 analysis - overall,0.8190384051494028,0.8190384051494028,Mild
globalmet.globalmet_mod5,Visit 1 analysis - overall,1.852081788763685e-5,8.036518960962557e-5,Severe
globalmet.globalmet_mod6,Visit 1 analysis - overall,6.834635273635662e-15,2.870546814926978e-13,Severe
globalmet.globalmet_mod7,Visit 1 analysis - overall,0.36387008471971916,0.4929852760718776,Mild
globalmet.globalmet_mod8,Visit 1 analysis - overall,1.0472231173460773e-5,7.330561821422541e-5,Mild
globalmet.globalmet_mod9,Visit 1 analysis - overall,3.150049414359669e-5,1.2027461400282372e-4,Mild
globalmet.globalmet_mod0,Visit 1 analysis - 1|2,0.37356916120510664,0.578963275668431,Mild
globalmet.globalmet_mod0,Visit 1 analysis - 1|3,0.8605543886224002,0.928316659480004,Severe
globalmet.globalmet_mod0,Visit 1 analysis - 1|4,0.15253351731274273,0.32836450995257066,Severe
globalmet.globalmet_mod0,Visit 1 analysis - 1|5,1.1232902058008968e-4,0.0013253053208683717,Severe
globalmet.globalmet_mod0,Visit 1 analysis - 2|3,0.14276751734896626,0.31230394420086366,Severe
globalmet.globalmet_mod0,Visit 1 analysis - 2|4,0.028360714217503424,0.10387621380043471,Severe
globalmet.globalmet_mod0,Visit 1 analysis - 2|5,3.182103850980204e-7,1.1137363478430714e-5,Severe
globalmet.globalmet_mod0,Visit 1 analysis - 3|4,0.28612661711589144,0.4806927167546976,Severe
globalmet.globalmet_mod0,Visit 1 analysis - 3|5,7.41800429047834e-5,9.443700601603765e-4,Severe
globalmet.globalmet_mod0,Visit 1 analysis - 4|5,0.00884529541817038,0.044759326212428424,Severe
globalmet.globalmet_mod1,Visit 1 analysis - 1|2,0.5150323891625543,0.6955421332741891,Severe
globalmet.globalmet_mod1,Visit 1 analysis - 1|3,0.2820390065058237,0.4757284447086183,Severe
globalmet.globalmet_mod1,Visit 1 analysis - 1|4,5.132837449506798e-4,0.004491232768318448,Severe
globalmet.globalmet_mod1,Visit 1 analysis - 1|5,1.4243380616530227e-7,6.646910954380772e-6,Severe
globalmet.globalmet_mod1,Visit 1 analysis - 2|3,0.43148892442647724,0.624914993996967,Severe
globalmet.globalmet_mod1,Visit 1 analysis - 2|4,7.381133220595599e-4,0.0056895954175344085,Severe
globalmet.globalmet_mod1,Visit 1 analysis - 2|5,7.883238195503557e-8,4.138700052639367e-6,Severe
globalmet.globalmet_mod1,Visit 1 analysis - 3|4,0.002489983231170878,0.01686762834018982,Severe
globalmet.globalmet_mod1,Visit 1 analysis - 3|5,1.7658789208708033e-6,4.362759686857279e-5,Severe
globalmet.globalmet_mod1,Visit 1 analysis - 4|5,0.013199786854659026,0.0602598965103999,Severe
globalmet.globalmet_mod10,Visit 1 analysis - 1|2,0.9544573983032886,0.97837339167069,Mild
