Module (or Feature),Analysis,P value,Q value,Direction
Nasal_metagenomics.Staphylococcus,Visit 1 analysis - overall,0.035620503959454375,0.5215325364787512,Severe
Nasal_metagenomics.Fusobacterium,Visit 1 analysis - overall,0.03489963618796405,0.5215325364787512,Severe
Nasal_metagenomics.Fusobacterium,Visit 1 analysis - 1|5,0.007075738907828576,0.09491844876355407,Severe
Nasal_metagenomics.Fusobacterium,Visit 1 analysis - 3|5,0.027487814959701914,0.1843694905833665,Severe
Nasal_metagenomics.Staphylococcus,Visit 1 analysis - 1|2,0.042142770190288205,0.2186653170250803,Severe
Nasal_metagenomics.Staphylococcus,Visit 1 analysis - 1|3,0.025826927605575874,0.17963810572902625,Severe
Acinetobacter,Longitudinal analysis - overall shape,0.02634415757105667,0.07625940349516405,Mild
Acinetobacter,Longitudinal analysis - overall average,9.8310502234603e-4,0.0077243966041473785,Mild
Actinomyces,Longitudinal analysis - overall shape,1.0114231386129167e-4,0.005562827262371042,Mild
Agrobacterium,Longitudinal analysis - overall shape,6.268352773722972e-4,0.016898090620264532,Mild
Anaerococcus,Longitudinal analysis - overall average,0.037923869784662875,0.07449331564844494,Mild
Aquabacterium,Longitudinal analysis - overall shape,0.03734777413318888,0.09781559892025658,Mild
Aquabacterium,Longitudinal analysis - overall average,0.008395364606599329,0.030783003557530872,Severe
Bacteroides,Longitudinal analysis - overall shape,0.003428760113994606,0.037716361253940664,Severe
Bacteroides,Longitudinal analysis - overall average,2.9439144980806688e-5,5.39717657981456e-4,Severe
Bifidobacterium,Longitudinal analysis - overall shape,0.025020614200839092,0.07625940349516405,Mild
Brevibacterium,Longitudinal analysis - overall average,0.0232327600648329,0.056997008886489016,Severe
Burkholderia,Longitudinal analysis - overall average,0.004983779972250122,0.02491889986125061,Mild
Comamonas,Longitudinal analysis - overall average,0.002984847765679126,0.020520828389043993,Mild
Cupriavidus,Longitudinal analysis - overall shape,0.022693449401073963,0.07341998335641577,Mild
Cupriavidus,Longitudinal analysis - overall average,0.017643486503759225,0.05107325040561881,Mild
Cutibacterium,Longitudinal analysis - overall average,3.078954530051424e-7,1.6934249915282832e-5,Severe
Finegoldia,Longitudinal analysis - overall average,0.02081783338584456,0.05563723221801141,Severe
Flavobacterium,Longitudinal analysis - overall shape,0.021315407086375828,0.07327171185941692,Severe
Fusobacterium,Longitudinal analysis - overall average,9.231431793452705e-5,0.001269321871599747,Severe
Herbaspirillum,Longitudinal analysis - overall average,0.027947139987347203,0.06404552913767067,Mild
Kocuria,Longitudinal analysis - overall shape,0.010025684155747273,0.05012842077873636,Mild
Lawsonella,Longitudinal analysis - overall shape,9.217140338326108e-4,0.016898090620264532,Mild
Lawsonella,Longitudinal analysis - overall average,2.976503171010234e-4,0.0032741534881112573,Mild
Leifsonia,Longitudinal analysis - overall average,0.021243306846877086,0.05563723221801141,Mild
Leptotrichia,Longitudinal analysis - overall shape,0.009412117946553906,0.05012842077873636,Mild
Mesorhizobium,Longitudinal analysis - overall average,0.0038589761299828865,0.02218243291149639,Severe
Microbacterium,Longitudinal analysis - overall average,0.011054705840389863,0.03800055132634016,Mild
Micrococcus,Longitudinal analysis - overall shape,0.004952432064967482,0.0389119662247445,Mild
Micrococcus,Longitudinal analysis - overall average,0.03763038609308916,0.07449331564844494,Severe
Moraxella,Longitudinal analysis - overall shape,0.009541954473325858,0.05012842077873636,Mild
Moraxella,Longitudinal analysis - overall average,0.01707036660002585,0.05107325040561881,Mild
Mycobacterium,Longitudinal analysis - overall average,0.039616369251237495,0.07513449340751939,Severe
Mycobacteroides,Longitudinal analysis - overall average,0.005700556981268769,0.026127552830815193,Severe
Nocardioides,Longitudinal analysis - overall average,0.023835112807077223,0.056997008886489016,Severe
Ochrobactrum,Longitudinal analysis - overall shape,0.003281387275995878,0.037716361253940664,Mild
Ochrobactrum,Longitudinal analysis - overall average,0.03053066272281913,0.06571146311913977,Mild
Paracoccus,Longitudinal analysis - overall average,0.03106360074722971,0.06571146311913977,Mild
Peptoniphilus,Longitudinal analysis - overall average,0.007689175893755075,0.030207476725466365,Mild
Porphyromonas,Longitudinal analysis - overall shape,0.015546540792349527,0.05965419898101902,Severe
Porphyromonas,Longitudinal analysis - overall average,6.95357898027413e-4,0.006374114065251286,Severe
Prevotella,Longitudinal analysis - overall shape,0.00998082778511361,0.05012842077873636,Severe
Prevotella,Longitudinal analysis - overall average,2.6752309050775342e-5,5.39717657981456e-4,Severe
Rhizobium,Longitudinal analysis - overall shape,0.01225689452181567,0.05617743322498849,Mild
Rhizobium,Longitudinal analysis - overall average,0.012099112764222562,0.039144188354837704,Mild
Rhodococcus,Longitudinal analysis - overall shape,0.014973859535824145,0.05965419898101902,Mild
Rhodococcus,Longitudinal analysis - overall average,0.007097196336358219,0.030026599884592466,Severe
Rothia,Longitudinal analysis - overall shape,0.004770450804322262,0.0389119662247445,Mild
Sphingobium,Longitudinal analysis - overall average,0.004033169620272071,0.02218243291149639,Mild
Staphylococcus,Longitudinal analysis - overall shape,0.036733551123474505,0.09781559892025658,Mild
Veillonella,Longitudinal analysis - overall shape,0.01626932699482337,0.05965419898101902,Mild
Xanthomonas,Longitudinal analysis - overall shape,0.04592628670439412,0.1148157167609853,Mild
Acinetobacter,Longitudinal analysis - 1|4 average,0.025531874977852063,0.1981850315763152,Mild
Acinetobacter,Longitudinal analysis - 1|4 shape,0.038262141833532506,0.2789499392408418,Mild
Acinetobacter,Longitudinal analysis - 1|5 average,0.006806759657900706,0.09600919105523446,Mild
Acinetobacter,Longitudinal analysis - 1|5 shape,0.010838317575876142,0.20433418163366626,Mild
