"Module","gene_id","gene_name"
"NasalRNAseq_mod0","ENSG00000002745","WNT16"
"NasalRNAseq_mod0","ENSG00000004809","SLC22A16"
"NasalRNAseq_mod0","ENSG00000004846","ABCB5"
"NasalRNAseq_mod0","ENSG00000004948","CALCR"
"NasalRNAseq_mod0","ENSG00000005102","MEOX1"
"NasalRNAseq_mod0","ENSG00000005421","PON1"
"NasalRNAseq_mod0","ENSG00000006606","CCL26"
"NasalRNAseq_mod0","ENSG00000007001","UPP2"
"NasalRNAseq_mod0","ENSG00000007038","PRSS21"
"NasalRNAseq_mod0","ENSG00000007306","CEACAM7"
"NasalRNAseq_mod0","ENSG00000007402","CACNA2D2"
"NasalRNAseq_mod0","ENSG00000007908","SELE"
"NasalRNAseq_mod0","ENSG00000010319","SEMA3G"
"NasalRNAseq_mod0","ENSG00000010379","SLC6A13"
"NasalRNAseq_mod0","ENSG00000011426","ANLN"
"NasalRNAseq_mod0","ENSG00000011677","GABRA3"
"NasalRNAseq_mod0","ENSG00000012817","KDM5D"
"NasalRNAseq_mod0","ENSG00000015520","NPC1L1"
"NasalRNAseq_mod0","ENSG00000017427","IGF1"
"NasalRNAseq_mod0","ENSG00000018625","ATP1A2"
"NasalRNAseq_mod0","ENSG00000022556","NLRP2"
"NasalRNAseq_mod0","ENSG00000039600","SOX30"
"NasalRNAseq_mod0","ENSG00000040608","RTN4R"
"NasalRNAseq_mod0","ENSG00000041515","MYO16"
"NasalRNAseq_mod0","ENSG00000047617","ANO2"
"NasalRNAseq_mod0","ENSG00000047662","FAM184B"
"NasalRNAseq_mod0","ENSG00000053108","FSTL4"
"NasalRNAseq_mod0","ENSG00000053438","NNAT"
"NasalRNAseq_mod0","ENSG00000055732","MCOLN3"
"NasalRNAseq_mod0","ENSG00000055813","CCDC85A"
"NasalRNAseq_mod0","ENSG00000058335","RASGRF1"
"NasalRNAseq_mod0","ENSG00000064489","BORCS8-MEF2B"
"NasalRNAseq_mod0","ENSG00000066230","SLC9A3"
"NasalRNAseq_mod0","ENSG00000067048","DDX3Y"
"NasalRNAseq_mod0","ENSG00000067646","ZFY"
"NasalRNAseq_mod0","ENSG00000067715","SYT1"
"NasalRNAseq_mod0","ENSG00000069696","DRD4"
"NasalRNAseq_mod0","ENSG00000070019","GUCY2C"
"NasalRNAseq_mod0","ENSG00000070388","FGF22"
"NasalRNAseq_mod0","ENSG00000070601","FRMPD1"
"NasalRNAseq_mod0","ENSG00000070729","CNGB1"
"NasalRNAseq_mod0","ENSG00000070808","CAMK2A"
"NasalRNAseq_mod0","ENSG00000071991","CDH19"
"NasalRNAseq_mod0","ENSG00000072163","LIMS2"
"NasalRNAseq_mod0","ENSG00000072832","CRMP1"
"NasalRNAseq_mod0","ENSG00000073146","MOV10L1"
"NasalRNAseq_mod0","ENSG00000073670","ADAM11"
"NasalRNAseq_mod0","ENSG00000075073","TACR2"
"NasalRNAseq_mod0","ENSG00000076344","RGS11"
"NasalRNAseq_mod0","ENSG00000077279","DCX"
"NasalRNAseq_mod0","ENSG00000078018","MAP2"
"NasalRNAseq_mod0","ENSG00000078795","PKD2L2"
"NasalRNAseq_mod0","ENSG00000078898","BPIFB2"
"NasalRNAseq_mod0","ENSG00000079931","MOXD1"
"NasalRNAseq_mod0","ENSG00000080007","DDX43"
"NasalRNAseq_mod0","ENSG00000080224","EPHA6"
"NasalRNAseq_mod0","ENSG00000080644","CHRNA3"
"NasalRNAseq_mod0","ENSG00000081052","COL4A4"
"NasalRNAseq_mod0","ENSG00000081277","PKP1"
"NasalRNAseq_mod0","ENSG00000082126","MPP4"
"NasalRNAseq_mod0","ENSG00000084628","NKAIN1"
"NasalRNAseq_mod0","ENSG00000084674","APOB"
"NasalRNAseq_mod0","ENSG00000085465","OVGP1"
"NasalRNAseq_mod0","ENSG00000086159","AQP6"
"NasalRNAseq_mod0","ENSG00000087245","MMP2"
"NasalRNAseq_mod0","ENSG00000087495","PHACTR3"
"NasalRNAseq_mod0","ENSG00000088882","CPXM1"
"NasalRNAseq_mod0","ENSG00000088926","F11"
"NasalRNAseq_mod0","ENSG00000089163","SIRT4"
"NasalRNAseq_mod0","ENSG00000090659","CD209"
"NasalRNAseq_mod0","ENSG00000091137","SLC26A4"
"NasalRNAseq_mod0","ENSG00000091482","SMPX"
"NasalRNAseq_mod0","ENSG00000091879","ANGPT2"
"NasalRNAseq_mod0","ENSG00000092051","JPH4"
"NasalRNAseq_mod0","ENSG00000092054","MYH7"
"NasalRNAseq_mod0","ENSG00000092377","TBL1Y"
"NasalRNAseq_mod0","ENSG00000092607","TBX15"
"NasalRNAseq_mod0","ENSG00000093072","ADA2"
"NasalRNAseq_mod0","ENSG00000094796","KRT31"
"NasalRNAseq_mod0","ENSG00000095713","CRTAC1"
"NasalRNAseq_mod0","ENSG00000095917","TPSD1"
"NasalRNAseq_mod0","ENSG00000095932","SMIM24"
"NasalRNAseq_mod0","ENSG00000099769","IGFALS"
"NasalRNAseq_mod0","ENSG00000099954","CECR2"
"NasalRNAseq_mod0","ENSG00000099974","DDTL"
"NasalRNAseq_mod0","ENSG00000099994","SUSD2"
"NasalRNAseq_mod0","ENSG00000100003","SEC14L2"
"NasalRNAseq_mod0","ENSG00000100033","PRODH"
"NasalRNAseq_mod0","ENSG00000100078","PLA2G3"
"NasalRNAseq_mod0","ENSG00000100095","SEZ6L"
"NasalRNAseq_mod0","ENSG00000100142","POLR2F"
"NasalRNAseq_mod0","ENSG00000100344","PNPLA3"
"NasalRNAseq_mod0","ENSG00000100346","CACNA1I"
"NasalRNAseq_mod0","ENSG00000100427","MLC1"
"NasalRNAseq_mod0","ENSG00000100593","ISM2"
"NasalRNAseq_mod0","ENSG00000100652","SLC10A1"
"NasalRNAseq_mod0","ENSG00000101000","PROCR"
"NasalRNAseq_mod0","ENSG00000101076","HNF4A"
"NasalRNAseq_mod0","ENSG00000101194","SLC17A9"
"NasalRNAseq_mod0","ENSG00000101197","BIRC7"
"NasalRNAseq_mod0","ENSG00000101282","RSPO4"
"NasalRNAseq_mod0","ENSG00000101306","MYLK2"
"NasalRNAseq_mod0","ENSG00000101438","SLC32A1"
"NasalRNAseq_mod0","ENSG00000101470","TNNC2"
"NasalRNAseq_mod0","ENSG00000101883","RHOXF1"
"NasalRNAseq_mod0","ENSG00000102385","DRP2"
"NasalRNAseq_mod0","ENSG00000103269","RHBDL1"
"NasalRNAseq_mod0","ENSG00000103316","CRYM"
"NasalRNAseq_mod0","ENSG00000103375","AQP8"
