"Module","enrichment_category","Term","Overlap","Adjusted.P.value","Genes"
"NasalRNAseq_mod0","GO_Biological_Process_2021","chemical synaptic transmission (GO:0007268)","37/306",0.0108593066774404,"CHRM3;CHRNA3;CHRM4;CHRNA6;CHRNA9;HTR2B;GRIK4;CACNA1A;HTR4;CDH8;GRM1;GPR176;GRIN2A;GABRR1;GLRA3;PTCHD1;NPBWR1;APOE;ERC2;DLGAP2;DRD4;NLGN4Y;CHRNB4;UNC13A;DTNA;SLC32A1;SYT1;GABRA3;HTR1D;GRIN2C;GRIN1;SYT10;PCDHB16;PCDHB6;CHRFAM7A;HAP1;PCDHB9"
"NasalRNAseq_mod0","GO_Biological_Process_2021","anterograde trans-synaptic signaling (GO:0098916)","30/244",0.0237545169838655,"CHRM3;CHRNA3;CHRM4;CHRNA6;CHRNA9;HTR2B;GRIK4;CACNA1A;HTR4;GRM1;GPR176;GRIN2A;GABRR1;GLRA3;PTCHD1;NPBWR1;DRD4;NLGN4Y;CHRNB4;DTNA;SYT1;GABRA3;HTR1D;GRIN1;SYT10;PCDHB16;PCDHB6;CHRFAM7A;HAP1;PCDHB9"
"NasalRNAseq_mod0","GO_Biological_Process_2021","striated muscle contraction (GO:0006941)","12/54",0.0237545169838655,"MYLK2;CSRP3;DTNA;SMPX;STAC;TNNT2;TNNC2;ATP1A2;SCN5A;SCN3B;MYH6;MYH7"
"NasalRNAseq_mod0","KEGG_2021_Human","Neuroactive ligand-receptor interaction","48/341",2.60227543843336e-07,"NPB;CHRM3;UCN;CHRNA3;NPFFR1;PTGER2;CHRM4;CHRNA6;CHRNA9;HTR2B;GRIK4;GPR83;PLG;TRH;HTR4;ADRA1B;GRM1;C3;GRM2;GRIN2A;GABRR1;GLRA3;CALCR;NPW;GALR2;NPBWR1;ADORA3;LEPR;TAC3;DRD4;INSL5;CHRNB4;GCGR;GABRA3;HTR1D;AVPR2;TACR2;AVPR1A;GRIN2C;PRLR;AGT;GRIN1;POMC;UTS2B;GRIN3A;CCKBR;APLNR;F2RL2"
"NasalRNAseq_mod0","KEGG_2021_Human","Complement and coagulation cascades","17/85",0.000308548693488152,"C1QB;C1QA;CR2;F12;SERPINE1;F11;PLG;C3;C4A;PROCR;C8G;C7;CFHR3;MASP1;A2M;F2RL2;C1QC"
"NasalRNAseq_mod0","KEGG_2021_Human","Nicotine addiction","9/40",0.0164182554683895,"GABRR1;GRIN2A;GRIN3A;SLC32A1;CHRNA6;GABRA3;CACNA1A;GRIN2C;GRIN1"
"NasalRNAseq_mod0","KEGG_2021_Human","Retinol metabolism","12/68",0.0164182554683895,"UGT1A10;CYP2A7;ADH4;UGT1A1;RDH12;ADH1B;RDH16;UGT1A5;AOX1;UGT2B17;LRAT;UGT1A3"
"NasalRNAseq_mod1","GO_Biological_Process_2021","cytokine-mediated signaling pathway (GO:0019221)","192/621",1.98460579897223e-54,"IFITM3;CD86;CSF3;IFITM1;IL1RN;SPI1;CSF2;CSF3R;IFITM2;CSF1;F13A1;SLA;IRS2;IL1RAP;IFI30;IFIT1;FGF2;TNF;IFIT3;ICAM1;IFIT2;IL18RAP;IL36B;MYC;PIM1;TNFRSF8;TNFSF11;TRIM25;MAP3K8;IL13RA2;JUNB;TNFRSF4;IL6R;IL4R;CISH;RSAD2;IL1R1;IL1R2;HGF;HLA-C;HLA-F;HLA-G;EREG;HLA-E;IL23A;FSCN1;SQSTM1;CSF1R;EBI3;FPR1;PDGFB;TWIST1;CSF2RB;HIF1A;CSF2RA;IL22RA2;SOCS2;CNN2;SOCS3;SOCS1;IRAK2;INPP5D;HMOX1;CD300LF;MCL1;CCR1;TNFSF18;EGR1;STAT5B;TGFB1;TNFSF14;TNFSF15;TNFRSF9;LIF;MSN;ISG15;PPBP;ST18;IL1F10;ISG20;NFKBIA;IL6;TNFSF9;TNFSF8;IL7R;MYD88;CXCL6;CDKN1A;ITGAM;IL20;CXCL8;TNFRSF13B;FLT3;ITGB2;IL24;PIK3CD;IL27;CXCL1;CXCL3;CXCL2;CXCL5;TNFSF13B;LMNB1;OASL;TMSB4X;ITGAX;CASP1;CTSG;TIMP1;JAK3;CCR2;IL10;IL11;SERPINB2;EDN2;FCER1G;SYK;TNFRSF12A;RIPK2;IFNGR2;IL16;IRAK3;FOS;TRAF1;GAB2;TNFRSF1B;MMP9;VAV1;TNFRSF1A;IL17RA;FCER2;HCK;IL1A;CEACAM1;ZEB1;AIM2;IRF4;IL1B;IRF1;OAS3;IL3RA;PELI1;IRF7;LTA;IRF8;LCP1;LTB;CD44;BIRC3;CEBPD;PTAFR;NOD2;PTGS2;IL2RG;IL1RL1;IL1RL2;CCL8;CCL7;ALOX5;CCL4;CXCR2;STAT4;CCL3;S1PR1;CCL2;STX4;STX3;CCL18;IL12RB1;FCGR1A;GBP2;SH2B3;GBP1;IL32;CCL24;CCL22;CCL20;STAT1;IL10RA;MX2;OSM;LILRB2;SOD2;LILRB4;BATF;VEGFA;LEP;PTPN6;VIM;IL17C;IL18R1;CRLF2"
"NasalRNAseq_mod1","GO_Biological_Process_2021","neutrophil activation involved in immune response (GO:0002283)","162/485",1.08809406449292e-50,"FCN1;CDA;GMFG;HP;MPO;RAB44;STK10;PNP;PLAU;ANPEP;FTH1;CLEC5A;C3AR1;TOM1;TBC1D10C;COTL1;SIRPA;PGLYRP1;CD177;CD93;CD300A;SLC11A1;KRT1;HLA-C;CYBB;MCEMP1;CYBA;RNASE3;RNASE2;OLFM4;UNC13D;ARHGAP45;OSCAR;CHIT1;CLEC4C;CLEC4D;DOK3;TYROBP;BIN2;CRISPLD2;PADI2;ADAM8;S100A9;S100A8;FTL;CFD;C5AR1;FPR1;FPR2;GPR84;CFP;ADGRG3;CNN2;TRPM2;SDCBP;S100A12;NCKAP1L;CD14;ELANE;MGAM;SIGLEC14;DEFA4;HSPA6;PRG2;NBEAL2;PPBP;PRG3;LYZ;IGF2R;BST1;PTPRC;VNN1;SELL;TARM1;HPSE;ARHGAP9;ORM1;SERPINA1;SIGLEC9;ITGAM;MS4A3;TNFAIP6;CRISP3;ITGB2;LPCAT1;CXCL1;SLC2A3;TCIRG1;ITGAL;SLC2A5;ORM2;FCAR;SIRPB1;HK3;MMP25;GLIPR1;FCGR3B;ADGRE5;ADGRE3;TIMP2;ITGAX;OLR1;CTSG;CAMP;CD33;CAP1;CD53;SERPINB1;CR1;FCER1G;MME;SYK;ARG1;NFAM1;RHOG;PLAUR;KCNAB2;RHOF;TNFRSF1B;MMP8;MMP9;CEACAM3;FGR;CEACAM1;PECAM1;DSG1;CHI3L1;BPI;PLEKHO2;CEACAM8;DOCK2;ATP6V0C;CD44;TLR2;GRN;CLEC12A;PTAFR;FGL2;RETN;LILRA2;CXCR1;ALOX5;RAB24;CXCR2;CD55;LAIR1;AOC1;GCA;LILRB2;LILRB3;LRG1;FCGR2A;IMPDH1;P2RX1;QPCT;MNDA;PTPN6;PTX3;FOLR3;CD68;GLA;SIGLEC5"
"NasalRNAseq_mod1","GO_Biological_Process_2021","neutrophil mediated immunity (GO:0002446)","162/488",1.89508918495155e-50,"FCN1;CDA;GMFG;HP;MPO;RAB44;STK10;PNP;PLAU;ANPEP;FTH1;CLEC5A;C3AR1;TOM1;TBC1D10C;COTL1;SIRPA;PGLYRP1;CD177;CD93;CD300A;SLC11A1;KRT1;HLA-C;CYBB;MCEMP1;CYBA;RNASE3;RNASE2;OLFM4;UNC13D;ARHGAP45;OSCAR;CHIT1;CLEC4C;CLEC4D;DOK3;TYROBP;BIN2;CRISPLD2;PADI2;ADAM8;S100A9;S100A8;FTL;CFD;C5AR1;FPR1;FPR2;GPR84;CFP;ADGRG3;CNN2;TRPM2;SDCBP;S100A12;NCKAP1L;CD14;ELANE;MGAM;SIGLEC14;DEFA4;HSPA6;PRG2;NBEAL2;PPBP;PRG3;LYZ;IGF2R;BST1;IL6;PTPRC;VNN1;SELL;TARM1;HPSE;ARHGAP9;ORM1;SERPINA1;SIGLEC9;ITGAM;MS4A3;TNFAIP6;CRISP3;ITGB2;LPCAT1;CXCL1;SLC2A3;TCIRG1;ITGAL;SLC2A5;ORM2;FCAR;SIRPB1;HK3;MMP25;GLIPR1;FCGR3B;ADGRE5;ADGRE3;TIMP2;ITGAX;OLR1;CTSG;CAMP;CD33;CAP1;CD53;SERPINB1;CR1;FCER1G;MME;ARG1;NFAM1;RHOG;PLAUR;KCNAB2;RHOF;TNFRSF1B;MMP8;MMP9;CEACAM3;FGR;CEACAM1;PECAM1;DSG1;CHI3L1;BPI;PLEKHO2;CEACAM8;DOCK2;ATP6V0C;CD44;TLR2;GRN;CLEC12A;PTAFR;FGL2;RETN;CXCR1;ALOX5;RAB24;CXCR2;CD55;LAIR1;AOC1;GCA;CARD9;LILRB2;LILRB3;LRG1;FCGR2A;IMPDH1;P2RX1;QPCT;MNDA;PTPN6;PTX3;FOLR3;CD68;GLA;SIGLEC5"
