"Module","Analysis","P value","Direction"
"NasalRNAseq_mod3","Visit 1 analysis - overall",0.041447928830616,"Severe"
"NasalRNAseq_mod4","Visit 1 analysis - overall",0.0217266866200567,"Mild"
"NasalRNAseq_mod7","Visit 1 analysis - overall",0.000549257441823645,"Severe"
"NasalRNAseq_mod2","Visit 1 analysis - 1|4",0.0109427073181933,"Severe"
"NasalRNAseq_mod2","Visit 1 analysis - 2|4",0.0255264056663048,"Severe"
"NasalRNAseq_mod2","Visit 1 analysis - 3|4",0.0477920012587418,"Severe"
"NasalRNAseq_mod2","Visit 1 analysis - 4|5",0.0322848790651055,"Mild"
"NasalRNAseq_mod3","Visit 1 analysis - 1|4",0.000284194799510041,"Severe"
"NasalRNAseq_mod3","Visit 1 analysis - 2|4",7.79890827483441e-06,"Severe"
"NasalRNAseq_mod3","Visit 1 analysis - 3|4",9.70068986246033e-07,"Severe"
"NasalRNAseq_mod3","Visit 1 analysis - 4|5",0.00633052228611724,"Mild"
"NasalRNAseq_mod4","Visit 1 analysis - 1|4",0.000888564487487232,"Mild"
"NasalRNAseq_mod4","Visit 1 analysis - 2|3",0.0487051893355989,"Severe"
"NasalRNAseq_mod4","Visit 1 analysis - 2|4",0.00692798533669039,"Mild"
"NasalRNAseq_mod4","Visit 1 analysis - 3|4",3.49483199062748e-06,"Mild"
"NasalRNAseq_mod4","Visit 1 analysis - 3|5",0.00975661616983521,"Mild"
"NasalRNAseq_mod6","Visit 1 analysis - 1|2",0.00400843422485478,"Mild"
"NasalRNAseq_mod6","Visit 1 analysis - 1|3",0.0197023552020545,"Mild"
"NasalRNAseq_mod6","Visit 1 analysis - 2|4",0.00820440831949396,"Severe"
"NasalRNAseq_mod6","Visit 1 analysis - 3|4",0.0467392870510709,"Severe"
"NasalRNAseq_mod7","Visit 1 analysis - 1|4",0.000109092025556626,"Severe"
"NasalRNAseq_mod7","Visit 1 analysis - 1|5",0.026369512376265,"Severe"
"NasalRNAseq_mod7","Visit 1 analysis - 2|4",1.03104731607084e-05,"Severe"
"NasalRNAseq_mod7","Visit 1 analysis - 2|5",0.0121537326098494,"Severe"
"NasalRNAseq_mod7","Visit 1 analysis - 3|4",0.000524769753960921,"Severe"
"NasalRNAseq_mod7","Visit 1 analysis - 3|5",0.0469014006378494,"Severe"
"NasalRNAseq_mod1","Longitudinal analysis - overall average",0.0236206654824423,"Severe"
"NasalRNAseq_mod3","Longitudinal analysis - overall shape",0.00260239802312443,"Severe"
"NasalRNAseq_mod3","Longitudinal analysis - overall average",9.21797559342862e-13,"Severe"
"NasalRNAseq_mod4","Longitudinal analysis - overall shape",0.000712960392973848,"Mild"
"NasalRNAseq_mod4","Longitudinal analysis - overall average",5.60503209512635e-16,"Mild"
"NasalRNAseq_mod5","Longitudinal analysis - overall shape",0.00932987484516884,"Mild"
"NasalRNAseq_mod6","Longitudinal analysis - overall shape",0.000103410339171564,"Severe"
"NasalRNAseq_mod6","Longitudinal analysis - overall average",0.0262502934067966,"Mild"
"NasalRNAseq_mod7","Longitudinal analysis - overall average",4.20842933164909e-10,"Severe"
"NasalRNAseq_mod0","Longitudinal analysis - 4|5 shape",0.0485878614910106,"Severe"
"NasalRNAseq_mod1","Longitudinal analysis - 1|4 average",0.0359070460524409,"Severe"
"NasalRNAseq_mod1","Longitudinal analysis - 1|5 average",0.0163653489229156,"Severe"
"NasalRNAseq_mod1","Longitudinal analysis - 3|5 average",0.033667604837837,"Severe"
"NasalRNAseq_mod1","Longitudinal analysis - 4|5 average",0.0211370857822209,"Severe"
"NasalRNAseq_mod3","Longitudinal analysis - 1|4 average",1.00706554741603e-07,"Severe"
"NasalRNAseq_mod3","Longitudinal analysis - 1|5 average",3.56173471349239e-05,"Severe"
"NasalRNAseq_mod3","Longitudinal analysis - 1|5 shape",7.38891425113615e-05,"Severe"
"NasalRNAseq_mod3","Longitudinal analysis - 2|4 average",3.18420414767644e-09,"Severe"
"NasalRNAseq_mod3","Longitudinal analysis - 2|5 average",7.50897457741455e-06,"Severe"
"NasalRNAseq_mod3","Longitudinal analysis - 2|5 shape",0.000363906121910892,"Severe"
"NasalRNAseq_mod3","Longitudinal analysis - 3|4 average",5.67702432257903e-10,"Severe"
"NasalRNAseq_mod3","Longitudinal analysis - 3|5 average",1.2105158142751e-05,"Severe"
"NasalRNAseq_mod3","Longitudinal analysis - 3|5 shape",0.0011435971748875,"Severe"
"NasalRNAseq_mod3","Longitudinal analysis - 4|5 shape",0.00228890554687595,"Severe"
"NasalRNAseq_mod4","Longitudinal analysis - 1|4 average",1.4393532553941e-10,"Mild"
"NasalRNAseq_mod4","Longitudinal analysis - 1|4 shape",0.0420484043344048,"Mild"
"NasalRNAseq_mod4","Longitudinal analysis - 1|5 average",1.60751918606077e-07,"Mild"
"NasalRNAseq_mod4","Longitudinal analysis - 1|5 shape",3.73850307174343e-05,"Mild"
"NasalRNAseq_mod4","Longitudinal analysis - 2|4 average",2.60718247638593e-11,"Mild"
"NasalRNAseq_mod4","Longitudinal analysis - 2|4 shape",0.0311617903565979,"Mild"
"NasalRNAseq_mod4","Longitudinal analysis - 2|5 average",2.31082779175997e-05,"Mild"
"NasalRNAseq_mod4","Longitudinal analysis - 2|5 shape",1.29954832434771e-05,"Mild"
"NasalRNAseq_mod4","Longitudinal analysis - 3|4 average",5.83430746603124e-13,"Mild"
"NasalRNAseq_mod4","Longitudinal analysis - 3|5 average",5.26021782901445e-07,"Mild"
"NasalRNAseq_mod4","Longitudinal analysis - 3|5 shape",5.23900869706286e-05,"Mild"
"NasalRNAseq_mod4","Longitudinal analysis - 4|5 shape",0.0122672025820316,"Mild"
"NasalRNAseq_mod5","Longitudinal analysis - 1|3 average",0.045255079172756,"Severe"
"NasalRNAseq_mod5","Longitudinal analysis - 1|5 shape",0.00375717550258226,"Mild"
"NasalRNAseq_mod5","Longitudinal analysis - 2|4 average",0.006387588831986,"Mild"
"NasalRNAseq_mod5","Longitudinal analysis - 2|4 shape",0.0406355293459154,"Mild"
