"Module","Analysis","P value","Q value","Direction"
"mod1","Visit 1 analysis - overall",3.12601043356955e-06,2.65710886853412e-05,"Mild"
"mod10","Visit 1 analysis - overall",7.21695775791531e-10,2.4537656376912e-08,"Mild"
"mod11","Visit 1 analysis - overall",0.0163171771058345,0.0369856014398915,"Severe"
"mod12","Visit 1 analysis - overall",0.000326002837365578,0.00100764513367542,"Severe"
"mod15","Visit 1 analysis - overall",8.65174485616313e-08,9.80531083698488e-07,"Severe"
"mod17","Visit 1 analysis - overall",0.000161198658699792,0.000608972710643657,"Severe"
"mod18","Visit 1 analysis - overall",0.00978740683575432,0.0237694166011176,"Severe"
"mod19","Visit 1 analysis - overall",0.00169596383680559,0.00480523087094917,"Mild"
"mod2","Visit 1 analysis - overall",0.00290004127694403,0.00758472333969977,"Severe"
"mod23","Visit 1 analysis - overall",0.0235026544289631,0.0499431406615465,"Severe"
"mod25","Visit 1 analysis - overall",0.000256954329148554,0.000873644719105085,"Mild"
"mod29","Visit 1 analysis - overall",1.23347913750396e-08,2.09691453375673e-07,"Severe"
"mod3","Visit 1 analysis - overall",0.0423919949731267,0.0800737682825726,"Mild"
"mod30","Visit 1 analysis - overall",4.89159719466634e-05,0.000245260076601094,"Severe"
"mod6","Visit 1 analysis - overall",9.17986529720091e-05,0.000390144275131038,"Mild"
"mod7","Visit 1 analysis - overall",0.0326142791990788,0.0652285583981576,"Severe"
"mod8","Visit 1 analysis - overall",2.46964712526121e-05,0.000167936004517762,"Mild"
"mod9","Visit 1 analysis - overall",5.04947216531664e-05,0.000245260076601094,"Severe"
"mod1","Visit 1 analysis - 1|4",0.00497322689036267,0.0412413937249587,"Mild"
"mod1","Visit 1 analysis - 1|5",0.00131750563740277,0.0172289198737286,"Mild"
"mod1","Visit 1 analysis - 2|4",0.00107463440512183,0.0152239874058926,"Mild"
"mod1","Visit 1 analysis - 2|5",9.73824402407524e-05,0.00331100296818558,"Mild"
"mod10","Visit 1 analysis - 1|3",0.0181422654711653,0.0926050096679815,"Mild"
"mod10","Visit 1 analysis - 1|4",6.90088103568001e-07,0.00023462995521312,"Mild"
"mod10","Visit 1 analysis - 1|5",1.80558589022223e-06,0.000286196719720718,"Mild"
"mod10","Visit 1 analysis - 2|4",3.16314903540312e-05,0.00153638667433866,"Mild"
"mod10","Visit 1 analysis - 2|5",2.31292284638493e-05,0.00131065627961813,"Mild"
"mod10","Visit 1 analysis - 3|4",0.0035835984108672,0.0338450961026346,"Mild"
"mod10","Visit 1 analysis - 3|5",0.0179356703281992,0.0926050096679815,"Mild"
"mod11","Visit 1 analysis - 2|4",0.0272330767538235,0.11574057620375,"Severe"
"mod12","Visit 1 analysis - 1|4",0.00104496983371449,0.0152239874058926,"Severe"
"mod12","Visit 1 analysis - 1|5",0.00999056415197768,0.0617598511213166,"Severe"
"mod12","Visit 1 analysis - 2|4",0.00438583264812341,0.0373686885328872,"Severe"
"mod12","Visit 1 analysis - 2|5",0.0176651950186722,0.0926050096679815,"Severe"
"mod15","Visit 1 analysis - 1|3",0.0414689885820536,0.156660623532203,"Severe"
"mod15","Visit 1 analysis - 1|4",2.52526517400633e-06,0.000286196719720718,"Severe"
"mod15","Visit 1 analysis - 1|5",0.000287619396131107,0.00752235343727511,"Severe"
"mod15","Visit 1 analysis - 2|4",1.10501798237963e-05,0.000751412228018145,"Severe"
"mod15","Visit 1 analysis - 2|5",0.000244393707143661,0.0069244883690704,"Severe"
"mod15","Visit 1 analysis - 3|4",0.0009649257322318,0.0152239874058926,"Severe"
"mod17","Visit 1 analysis - 1|2",0.024507584930765,0.108215310083898,"Severe"
"mod17","Visit 1 analysis - 1|4",0.000136509931550011,0.00421939788427307,"Severe"
"mod17","Visit 1 analysis - 2|4",0.0021695183684427,0.0237796453715502,"Severe"
"mod17","Visit 1 analysis - 3|4",0.0010221895259899,0.0152239874058926,"Severe"
"mod17","Visit 1 analysis - 4|5",0.00562854235749357,0.045395343032833,"Mild"
"mod18","Visit 1 analysis - 1|4",0.00616675526609046,0.0465932620104612,"Severe"
"mod18","Visit 1 analysis - 2|4",0.00439631629798673,0.0373686885328872,"Severe"
"mod18","Visit 1 analysis - 2|5",0.0336535045916833,0.137857729652679,"Severe"
"mod19","Visit 1 analysis - 1|4",0.0259154660459272,0.111534917159687,"Mild"
"mod19","Visit 1 analysis - 1|5",0.0154329643223952,0.0903356527348311,"Mild"
"mod19","Visit 1 analysis - 2|4",0.0209144116860173,0.0987624996284148,"Mild"
"mod19","Visit 1 analysis - 2|5",0.00779523525878658,0.0563910635742008,"Mild"
"mod19","Visit 1 analysis - 3|4",0.0324239709392865,0.134440855114115,"Mild"
"mod19","Visit 1 analysis - 3|5",0.0460948102468971,0.164970899831,"Mild"
"mod2","Visit 1 analysis - 1|4",0.00389504240267399,0.0357922815380854,"Severe"
"mod2","Visit 1 analysis - 2|4",0.000658799564036154,0.0124439917651274,"Severe"
"mod2","Visit 1 analysis - 2|5",0.0363492485035604,0.145396994014242,"Severe"
"mod2","Visit 1 analysis - 3|4",0.0199164255828772,0.0953744323687075,"Severe"
"mod23","Visit 1 analysis - 1|4",0.0490166066729711,0.171810786276394,"Severe"
"mod23","Visit 1 analysis - 2|4",0.0188581284722792,0.094290642361396,"Severe"
"mod23","Visit 1 analysis - 3|4",0.00137947470523912,0.0173335982746709,"Severe"
"mod23","Visit 1 analysis - 4|5",0.0243058222386484,0.108215310083898,"Mild"
"mod25","Visit 1 analysis - 1|4",0.000614668225498911,0.0123663024157078,"Mild"
"mod25","Visit 1 analysis - 1|5",0.00827180608224979,0.057396205468672,"Mild"
"mod25","Visit 1 analysis - 2|4",0.000618315120785389,0.0123663024157078,"Mild"
"mod25","Visit 1 analysis - 2|5",0.0341889434547925,0.138383818745588,"Mild"
"mod25","Visit 1 analysis - 3|4",0.0391496372300315,0.151259962025122,"Mild"
"mod29","Visit 1 analysis - 1|2",0.0069047707746752,0.0510352622475993,"Severe"
"mod29","Visit 1 analysis - 1|3",0.00327478932260117,0.03181223913384,"Severe"
"mod29","Visit 1 analysis - 1|4",3.85600240338016e-06,0.000327760204287314,"Severe"
"mod29","Visit 1 analysis - 1|5",0.000697548060940134,0.0124824389852445,"Severe"
"mod29","Visit 1 analysis - 2|4",0.000488439569126218,0.0118621038216367,"Severe"
"mod29","Visit 1 analysis - 2|5",0.0230881660613495,0.105149196655114,"Severe"
"mod29","Visit 1 analysis - 3|4",0.00223808427026355,0.0237796453715502,"Severe"
"mod29","Visit 1 analysis - 3|5",0.0495981297558992,0.172075144051079,"Severe"
"mod3","Visit 1 analysis - 1|4",0.0175278155484884,0.0926050096679815,"Mild"
"mod3","Visit 1 analysis - 2|4",0.0115993544689051,0.0704246521326382,"Mild"
"mod30","Visit 1 analysis - 1|4",6.01670858255552e-05,0.00228979931519327,"Severe"
"mod30","Visit 1 analysis - 1|5",0.0058746914513078,0.045395343032833,"Severe"
"mod30","Visit 1 analysis - 2|4",0.00142747279909055,0.0173335982746709,"Severe"
"mod30","Visit 1 analysis - 3|4",0.0219604330025322,0.102281468778917,"Severe"
"mod6","Visit 1 analysis - 1|3",0.0390460944446055,0.151259962025122,"Mild"
"mod6","Visit 1 analysis - 1|4",0.00123025474659329,0.0167314645536688,"Mild"
"mod6","Visit 1 analysis - 1|5",0.0399549961749062,0.152637064038968,"Mild"
"mod6","Visit 1 analysis - 2|4",0.000813857081630735,0.0138355703877225,"Mild"
"mod6","Visit 1 analysis - 3|4",0.0257908165371573,0.111534917159687,"Mild"
"mod7","Visit 1 analysis - 1|2",0.00864590344800262,0.0584750740034774,"Severe"
"mod7","Visit 1 analysis - 1|4",0.0197808460729154,0.0953744323687075,"Severe"
"mod8","Visit 1 analysis - 1|3",0.0466738208114364,0.165303115373837,"Mild"
"mod8","Visit 1 analysis - 1|4",0.00255771029995884,0.0263521667268486,"Mild"
"mod8","Visit 1 analysis - 1|5",0.00883149623314078,0.0584750740034774,"Mild"
"mod8","Visit 1 analysis - 2|4",0.00967602328695686,0.0616120507641949,"Mild"
"mod8","Visit 1 analysis - 2|5",0.00419063067670837,0.0373686885328872,"Mild"
"mod8","Visit 1 analysis - 3|4",0.0177306552141843,0.0926050096679815,"Mild"
"mod9","Visit 1 analysis - 1|4",0.0182486342581022,0.0926050096679815,"Severe"
"mod9","Visit 1 analysis - 1|5",0.000604854588015785,0.0123663024157078,"Severe"
"mod9","Visit 1 analysis - 2|4",0.0320298161308175,0.134440855114115,"Severe"
"mod9","Visit 1 analysis - 2|5",6.06123348139395e-05,0.00228979931519327,"Severe"
"mod9","Visit 1 analysis - 3|4",0.0426636280322909,0.157669929684553,"Severe"
"mod9","Visit 1 analysis - 3|5",0.00178270145703499,0.0209006377721344,"Severe"
"mod9","Visit 1 analysis - 4|5",0.0422737281093858,0.157669929684553,"Severe"
"mod1","Longitudinal analysis - overall shape",1.63669484301912e-05,9.27460411044167e-05,"Mild"
"mod1","Longitudinal analysis - overall average",1.72039640251668e-25,2.92467388427835e-24,"Mild"
"mod10","Longitudinal analysis - overall shape",6.69856972297672e-09,1.13875685290604e-07,"Mild"
"mod10","Longitudinal analysis - overall average",2.90884556645108e-21,2.47251873148342e-20,"Mild"
"mod11","Longitudinal analysis - overall average",0.00039361567790139,0.000669146652432363,"Severe"
"mod12","Longitudinal analysis - overall shape",1.56289440033215e-06,1.06276819222586e-05,"Severe"
"mod12","Longitudinal analysis - overall average",2.2476685449345e-11,5.87851773290563e-11,"Severe"
"mod13","Longitudinal analysis - overall shape",5.84422057435989e-10,1.98703499528236e-08,"Severe"
"mod13","Longitudinal analysis - overall average",0.00074242990353423,0.00120202936762685,"Severe"
"mod14","Longitudinal analysis - overall average",0.00161982430158827,0.00250336482972733,"Mild"
"mod15","Longitudinal analysis - overall shape",8.06688019117853e-07,6.85684816250175e-06,"Severe"
"mod15","Longitudinal analysis - overall average",7.18222014138298e-28,2.44195484807021e-26,"Severe"
"mod17","Longitudinal analysis - overall shape",0.0185663381031758,0.0332239734477883,"Severe"
