module_name,enrichment_category,Term,Overlap,genesinpath,totalpathgenes,P.value,Adjusted.P.value,Old.P.value,Old.Adjusted.P.value,Odds.Ratio,Combined.Score,Genes,GeneRatio
PBMC_mod0,MSigDB_Hallmark_2020,Bile Acid Metabolism,22/112,22,112,3.7678716592609996e-4,0.018839358296305,0,0,2.485208060390542,19.592958052986038,SLC23A2;ABCA2;RETSAT;ABCA5;ABCA6;DIO1;NR1I2;PIPOX;TFCP2L1;HSD17B6;PEX12;PEX13;CYP27A1;FADS2;CH25H;AMACR;PEX6;FDXR;LONP2;PEX11G;SLC29A1;NUDT12,0.19642857142857142
PBMC_mod1,GO_Biological_Process_2021,"regulation of transcription, DNA-templated (GO:0006355)",288/2244,288,2244,4.402808850524058e-26,1.5180884916606952e-22,0,0,2.201709853984423,128.54676312512981,TRRAP;EHMT1;IKZF2;IKZF3;CCAR2;ELK4;ZNF609;ZNF606;MYC;ZXDB;ZNF721;CCNL2;ZNF169;ZNF287;MED1;ZFP1;SFMBT1;SFMBT2;ZNF160;ZNF10;ZNF12;SOX12;ZNF16;RFX7;THAP7;ZNF837;ZNF836;PRKCQ;HOXB2;ZSCAN25;CLOCK;ZNF275;L3MBTL3;ZNF395;TSHZ1;PRDM15;ZNF22;GATA3;ZBTB4;ZNF26;ZNF829;NUP85;ZNHIT3;ZNF823;ZSCAN12;HIVEP3;HIVEP2;PATZ1;ZNF266;ZSCAN18;ZNF264;ZNF263;ZNF142;PHC1;ZNF141;ZNF383;BCL11B;IRF2BP1;NFATC1;PBX4;ZNF34;POU6F1;ZNF30;ZNF813;ID3;MMS19;ZNF138;RBAK;ZNF497;CC2D1B;ZNF253;ZNF131;ZNF251;ZNF250;SPIN3;KDM8;ZNF43;CTCF;LIMD1;MEOX1;ZNF48;IKBKB;GLI4;ZNF808;SCML4;NKRF;ZNF280C;SPIN1;ZNF248;ZIK1;ZNF485;ZNF121;ZHX3;ZNF57;CBFA2T2;SUPT3H;KAT2A;MDFIC;NFX1;ZNF239;ZNF358;ZNF236;ZNF599;ZNF235;PPARD;SATB1;ZNF69;ZNF7;PURA;ZFP14;ZNF227;ZNF468;ZNF589;APBB1;ZNF224;ZNF345;ZNF101;ZNF584;ZNF461;ZNF582;ZNF76;WNT7A;WWP1;ELP2;TARBP1;MYBBP1A;ZNF71;CAMK4;ZNF74;ZNF337;ZNF577;MPHOSPH8;ZNF212;ZNF575;ZNF354C;ZNF211;ZFP28;ZNF354B;ZNF573;ZNF571;ZNF570;ZBTB25;RORC;RORA;NUCKS1;ETS1;CARF;CELSR2;NR3C2;YY2;ZNF83;ZNF84;SCMH1;ZNF85;ZNF329;ZNF569;ZNF568;ZNF446;ZNF567;ZNF324;ZNF566;ZNF202;TNFRSF4;ZFP37;ZNF565;ZNF563;PIAS3;ZBTB39;ZNF682;TLE2;ZNF680;KDM2B;THOC1;FOXP3;LBHD1;ZNF91;DMTF1;ZFP41;ZNF439;ZNF559;ZNF558;ZNF678;MZF1;ZNF555;ZNF675;ZNF431;ZNF792;ZNF550;ZNF790;KMT2A;TCF7;NOP2;FOXO1;NPAT;RAI1;TTC21B;ZNF549;ZNF548;ZNF426;TASP1;E4F1;ZNF304;ZNF302;ZNF544;ZNF543;ZNF420;ZNF783;ZNF540;SMAD3;ZBTB14;PHF10;SMURF2;SMAD5;GON4L;RIOX1;ZFP62;SP4;ZNF416;PHF14;MAP3K10;SP140L;OGT;ZNF773;ZSCAN2;MAP3K12;ZNF530;CREBZF;PSIP1;CHD3;ZFP82;LBH;DBP;SIN3A;ZNF529;ZNF649;ZNF528;ZNF527;ZNF525;ZNF765;ZNF764;CEP290;EID2B;ZNF880;KLF12;EED;ATRX;ARID1B;ZNF75A;ZFP90;ZNF517;ZNF879;CRY1;ZMYND11;ZNF510;USP13;CAMK2D;ZNF195;LEF1;ZBTB42;TULP3;MLLT3;RNF4;NR2C1;ZBTB41;ZBTB40;MLLT6;ZNF749;BAHD1;ZNF627;ZNF506;ZNF624;ZNF500;MTA3;ZNF740;ZNF286A;TAF15;ZNF184;USP21;MGA;ZNF181;ZNF180;TEF;ZNF737;ZNF614;PDCD4;NUP35;ZNF853;BCOR,0.12834224598930483
PBMC_mod1,GO_Biological_Process_2021,regulation of transcription by RNA polymerase II (GO:0006357),274/2206,274,2206,1.4696603352729096e-22,2.533694418010496e-19,0,0,2.0973792163368183,105.43911392713838,MAML2;IKZF2;IKZF3;DCAF1;ELK4;IL4I1;ZNF609;ZNF606;MYC;ZXDB;ZNF721;CCNL2;ZNF169;ZNF287;MED1;ZFP1;ZNF160;ZNF10;ZNF12;SOX12;ZNF16;RFX7;THAP7;ZNF837;ZNF836;HOXB2;ZSCAN25;CLOCK;ZNF275;ZNF395;TXK;TSHZ1;PRDM15;ZNF22;GATA3;ZBTB4;RPAP2;ZNF26;ZNF829;ZNF827;ZBED2;ZNF823;ZSCAN12;HIVEP3;HIVEP2;PATZ1;ZNF266;ZSCAN18;ZNF264;ZNF263;ZNF142;ZNF141;ZNF383;BCL11B;IRF2BP1;NFATC1;PBX4;ZNF34;PARP15;POU6F1;MLLT10;MC1R;ZNF30;ZNF813;ID3;ATM;RBAK;ZNF497;CC2D1B;CD40;ZNF131;RARG;ZNF251;ZNF250;ZNF43;CTCF;BMI1;MEOX1;ZNF48;IKBKB;ZNF808;NKRF;ZNF248;ZIK1;ZNF485;ZNF121;ZHX3;ZNF57;SUPT3H;KAT2A;NFX1;ZNF239;ZNF358;ZNF236;ZNF599;ZNF235;PPARD;SATB1;ZNF69;ZNF7;PURA;ZFP14;ZNF227;ZNF468;ZNF589;APBB1;TAF9B;ZNF224;ZNF345;ZNF101;ZNF584;WWOX;ZNF461;ZNF582;ZNF76;WNT7A;ELP2;RRP1B;TARBP1;PER3;ZNF71;ZNF74;ZNF337;ZNF577;ZNF212;ZNF575;ZNF354C;ZNF211;ZFP28;ZNF354B;ZNF573;ZNF571;CRTC3;ZNF570;RIF1;ZBTB25;CRTC1;ATN1;RORC;RORA;NUCKS1;ETS1;CARF;NR3C2;YY2;CCND1;ZNF83;ZNF84;ZNF329;ZNF569;ZNF568;ZNF446;ZNF567;ZNF324;ZNF566;ZNF202;ZFP37;ZNF565;ZNF563;PIAS3;ZBTB39;KDM2B;FOXP3;ZNF91;DMTF1;ZFP41;ZNF439;ZNF559;ZNF558;MZF1;ZNF555;ZNF675;ZNF431;ZNF792;ZNF550;ZNF790;KMT2A;TCF7;NOP2;FOXO1;NPAT;RAI1;TTC21B;ZNF549;ZNF548;ZNF426;E4F1;ZNF304;ZNF302;ZNF544;ZNF543;ZNF420;BCL9L;ZNF783;ZNF540;CBX7;SMAD3;ZBTB14;PHF10;SMURF2;SMAD5;AHI1;DLG1;ZFP62;SP4;CAPRIN2;ZNF416;PHF14;SP140L;OGT;ZNF773;ZSCAN2;ZNF530;BMPR1A;CREBZF;PSIP1;CHD3;ZFP82;PKD1;DBP;SIN3A;ZNF529;ZNF649;ZNF528;ZNF527;ZNF525;ZNF765;ZNF764;PELP1;ZNF880;KLF12;EED;ATRX;ARID1B;ZNF75A;ZFP90;METTL23;RBL1;ZNF517;ZNF879;CRY1;ZNF510;CAMK2D;LEF1;ZBTB42;RNF4;NR2C1;DLL1;ZBTB41;ZBTB40;MLLT6;ZNF507;ZNF749;ZNF627;ZNF624;ZNF500;MTA3;ZNF740;ZNF286A;SPAG8;ZNF184;MGA;ZNF181;ZNF180;ACVR2A;TNRC6C;TEF;ZNF614;TRIM37;ZNF853;BCOR;LPIN1;TNRC6A;TAF1,0.1242067089755213
PBMC_mod1,GO_Biological_Process_2021,"negative regulation of transcription, DNA-templated (GO:0045892)",115/948,115,948,3.957798005992084e-9,4.548829174886902e-6,0,0,1.9072232314387652,36.90015028217639,RIF1;ATN1;RORC;EHMT1;CCAR2;DCAF1;ELK4;CCND1;MYC;SCMH1;ZNF568;ZNF566;TNFRSF4;ZNF202;ZNF169;ZFP37;MED1;TLE2;KDM2B;SFMBT1;SFMBT2;ZNF10;ZNF12;FOXP3;ZNF91;THAP7;ZNF439;ZNF559;ZNF558;MZF1;ZNF555;CLOCK;ZNF675;ZNF431;ZNF550;L3MBTL3;GATA3;ZBTB4;FOXO1;ZBED2;E4F1;PATZ1;ZNF266;ZNF540;CBX7;ZNF263;PHC1;ZNF141;SMAD3;ZBTB14;PHF10;SMURF2;IRF2BP1;PARP15;POU6F1;DLG1;RIOX1;ID3;MAP3K10;RBAK;CREBZF;ZNF253;RARG;KDM8;CTCF;CHD3;BMI1;LIMD1;LBH;SCML4;NKRF;SIN3A;ZNF529;ZNF248;ZNF764;EID2B;KLF12;ZHX3;EED;CBFA2T2;ZFP90;ZNF75A;MDFIC;NFX1;CRY1;ZNF239;ZMYND11;ZNF599;PPARD;SATB1;LEF1;ZNF69;NR2C1;PURA;ZNF749;BAHD1;ZNF589;APBB1;TAF9B;ZNF224;MTA3;ZNF345;WWOX;ZNF582;ZNF180;WWP1;PER3;MYBBP1A;PDCD4;ZNF614;TRIM37;ZNF337;BCOR;MPHOSPH8;TAF1,0.12130801687763713
PBMC_mod1,GO_Biological_Process_2021,RNA methylation (GO:0001510),16/60,16,60,2.4216615000928443e-6,0.002087472213080032,0,0,4.871677059402691,62.995932196849964,DIMT1;METTL3;NOP2;MTERF4;BCDIN3D;NSUN6;THADA;ALKBH8;GTPBP3;TARBP1;TGS1;TRMT44;METTL16;METTL8;ZCCHC4;TRMT61B,0.26666666666666666
PBMC_mod1,GO_Biological_Process_2021,cilium assembly (GO:0060271),45/314,45,314,3.6387814473754604e-6,0.0025093036861101176,0,0,2.261325130769484,28.32052319551277,CEP57;TRAF3IP1;GORAB;FBF1;CEP164;PKD1;CDC14A;IFT74;PCM1;ABLIM1;KIF3B;TBC1D32;KIF3A;STK36;HAUS7;TTC21B;CEP70;INPP5E;CEP72;BBS9;NEK1;CEP192;JHY;RAB11FIP3;PIBF1;CEP290;BBS4;BBS2;OFD1;CCDC57;CEP131;RABL2B;HAUS6;HAUS5;TTC39C;TUBB4A;AHI1;IFT43;TMEM237;AKAP9;ALMS1;CCDC66;SFI1;CLUAP1;EXOC2,0.14331210191082802
PBMC_mod1,GO_Biological_Process_2021,negative regulation of transcription by RNA polymerase II (GO:0000122),78/684,78,684,1.3527258063674005e-5,0.0077736643005913274,0,0,1.7505145072330361,19.62467467628128,RARG;RIF1;ATN1;RORC;CTCF;CHD3;BMI1;DCAF1;ELK4;CCND1;SIN3A;ZNF529;MYC;ZNF568;ZNF248;ZNF566;ZNF764;ZNF169;ZFP37;ZNF202;MED1;KLF12;KDM2B;EED;ATRX;ZNF10;FOXP3;ZFP90;ZNF75A;THAP7;NFX1;ZNF439;ZNF559;CRY1;ZNF239;ZNF558;ZNF599;ZNF555;MZF1;ZNF675;PPARD;ZNF431;ZNF550;SATB1;GATA3;ZNF69;ZBTB4;NR2C1;PURA;ZNF749;ZBED2;E4F1;ZNF589;APBB1;TAF9B;ZNF224;ZNF345;MTA3;ZNF266;WWOX;CBX7;ZNF263;ZNF582;ZNF141;SMAD3;SMURF2;IRF2BP1;ZNF180;PARP15;POU6F1;DLG1;PER3;ZNF614;ID3;ZNF337;TRIM37;BCOR;TAF1,0.11403508771929824
PBMC_mod1,GO_Biological_Process_2021,ciliary basal body-plasma membrane docking (GO:0097711),18/95,18,95,9.278999034012334e-5,0.04570569809896361,0,0,3.1307434431078685,29.06949068935343,CEP57;OFD1;CEP164;CEP131;FBF1;HAUS6;HAUS5;TUBB4A;AHI1;PCM1;HAUS7;AKAP9;CEP70;ALMS1;CEP72;CEP192;CEP290;SFI1,0.18947368421052632
PBMC_mod1,KEGG_2021_Human,Herpes simplex virus 1 infection,118/498,118,498,5.496186051134963e-33,1.5829015827268694e-30,0,0,4.409570496779751,327.5484246133451,ZNF573;ZNF571;ZNF570;ZNF606;ZNF83;ZNF84;AKT3;ZNF85;ZNF569;ZNF568;ZNF567;ZNF721;ZNF324;ZNF566;ZNF169;ZFP37;ZNF565;ZNF563;ZNF682;ZNF680;ZFP1;ZNF160;ZNF10;ZNF12;ZNF91;ZNF836;ZNF439;ZNF559;ZNF558;ZNF555;ZNF675;ZNF431;ZNF275;ZNF550;ZNF792;ZNF790;ZNF26;ZNF829;ZNF549;ZNF548;ZNF823;ZNF426;ZNF304;ZNF302;ZNF544;ZNF543;HLA-DQA1;ZNF420;ZNF783;EIF2B5;ZNF540;ZNF141;ZNF383;ZNF34;ZNF30;ZNF813;BCL2;ZNF416;RBAK;ZNF773;ZNF530;ZNF253;ZNF251;ZNF250;ZNF43;ZFP82;IKBKB;ZNF808;ZNF529;ZNF528;ZNF649;ZNF527;ZNF248;ZNF765;ZNF764;ZIK1;TRAF2;ZNF57;ZFP90;ZNF517;TRAF5;ZNF879;LTA;ZNF599;ZNF235;ZNF510;BIRC3;ZNF195;ZNF7;ZFP14;ZNF749;ZNF506;ZNF627;ZNF624;ZNF227;ZNF468;ZNF589;ZNF224;ZNF101;ZNF286A;ZNF584;ZNF461;ZNF582;ZNF184;ZNF181;ZNF180;MTOR;ZNF737;ZNF74;ZNF614;ZNF337;ZNF853;ZNF577;ZNF212;ZNF354C;ZNF211;ZFP28;ZNF354B,0.23694779116465864
PBMC_mod1,KEGG_2021_Human,T cell receptor signaling pathway,21/104,21,104,9.026397645950196e-6,0.0012998012610168281,0,0,3.3947616553169198,39.43136924188146,ITK;CBLB;NFATC1;CD3G;CD3E;RASGRP1;CD3D;MALT1;IKBKB;DLG1;PPP3CC;CD40LG;LCK;AKT3;CD28;CTLA4;PRKCQ;PLCG1;MAP3K14;CARD11;LAT,0.20192307692307693
