Module,Feature
mod0,ENSG00000001630
mod0,ENSG00000002726
mod0,ENSG00000002933
mod0,ENSG00000003096
mod0,ENSG00000003393
mod0,ENSG00000003987
mod0,ENSG00000004799
mod0,ENSG00000004838
mod0,ENSG00000004864
mod0,ENSG00000006118
mod0,ENSG00000006453
mod0,ENSG00000007038
mod0,ENSG00000007202
mod0,ENSG00000007516
mod0,ENSG00000007520
mod0,ENSG00000008056
mod0,ENSG00000008735
mod0,ENSG00000009335
mod0,ENSG00000009694
mod0,ENSG00000009830
mod0,ENSG00000010318
mod0,ENSG00000010361
mod0,ENSG00000010626
mod0,ENSG00000011114
mod0,ENSG00000011243
mod0,ENSG00000011258
mod0,ENSG00000011405
mod0,ENSG00000011451
mod0,ENSG00000011454
mod0,ENSG00000011638
mod0,ENSG00000012211
mod0,ENSG00000012817
mod0,ENSG00000013288
mod0,ENSG00000013573
mod0,ENSG00000013619
mod0,ENSG00000014824
mod0,ENSG00000022556
mod0,ENSG00000023041
mod0,ENSG00000023171
mod0,ENSG00000023608
mod0,ENSG00000023892
mod0,ENSG00000025423
mod0,ENSG00000029364
mod0,ENSG00000031823
mod0,ENSG00000033030
mod0,ENSG00000036054
mod0,ENSG00000036448
mod0,ENSG00000037637
mod0,ENSG00000037749
mod0,ENSG00000038002
mod0,ENSG00000040199
mod0,ENSG00000042429
mod0,ENSG00000042445
mod0,ENSG00000044090
mod0,ENSG00000046604
mod0,ENSG00000047056
mod0,ENSG00000047410
mod0,ENSG00000048471
mod0,ENSG00000049167
mod0,ENSG00000049247
mod0,ENSG00000049249
mod0,ENSG00000050820
mod0,ENSG00000052802
mod0,ENSG00000053328
mod0,ENSG00000053371
mod0,ENSG00000054118
mod0,ENSG00000054219
mod0,ENSG00000054611
mod0,ENSG00000054690
mod0,ENSG00000055163
mod0,ENSG00000055917
mod0,ENSG00000055955
mod0,ENSG00000056736
mod0,ENSG00000056972
mod0,ENSG00000058335
mod0,ENSG00000058668
mod0,ENSG00000060566
mod0,ENSG00000060656
mod0,ENSG00000060709
mod0,ENSG00000061987
mod0,ENSG00000062725
mod0,ENSG00000063438
mod0,ENSG00000064042
mod0,ENSG00000064199
mod0,ENSG00000064201
mod0,ENSG00000065000
mod0,ENSG00000065054
mod0,ENSG00000065060
mod0,ENSG00000065457
mod0,ENSG00000065802
mod0,ENSG00000066056
mod0,ENSG00000066322
mod0,ENSG00000066379
mod0,ENSG00000066427
mod0,ENSG00000066735
mod0,ENSG00000066739
mod0,ENSG00000066827
mod0,ENSG00000067048
mod0,ENSG00000067141
mod0,ENSG00000067606
mod0,ENSG00000067646
mod0,ENSG00000068308
mod0,ENSG00000068831
mod0,ENSG00000069509
mod0,ENSG00000070761
mod0,ENSG00000070770
mod0,ENSG00000070950
