Module,Feature
globalprot_mod0,ZZEF1
globalprot_mod0,VNN1
globalprot_mod0,APOC2
globalprot_mod0,IGF1
globalprot_mod0,BCHE
globalprot_mod0,FABP1
globalprot_mod0,LPA
globalprot_mod0,NCAM1
globalprot_mod0,PECAM1
globalprot_mod0,ATF6
globalprot_mod0,TCN1
globalprot_mod0,CPS1
globalprot_mod0,CDH5
globalprot_mod0,PRSS3
globalprot_mod0,CEACAM6
globalprot_mod0,APOC4
globalprot_mod0,INHBC
globalprot_mod0,KRTDAP
globalprot_mod0,CALD1
globalprot_mod0,FGL2
globalprot_mod0,ITPR2
globalprot_mod0,PLXDC2
globalprot_mod0,ABI3BP
globalprot_mod0,ADGRG6
globalprot_mod0,WFDC3
globalprot_mod0,OSCAR
globalprot_mod0,ADGRF5
globalprot_mod0,BPIFB1
globalprot_mod0,OIT3
globalprot_mod0,INPP5D
globalprot_mod0,PCDH15
globalprot_mod0,OSMR
globalprot_mod0,ATF6B
globalprot_mod0,PDCD1LG2
globalprot_mod0,CDHR2
globalprot_mod0,DPEP2
globalprot_mod0,NECTIN3
globalprot_mod0,RRBP1
globalprot_mod0,MYRF
globalprot_mod0,HYOU1
globalprot_mod0,PRSS1
globalprot_mod0,ZNF620
globalprot_mod0,CTRB2
globalprot_mod0,LILRA3
globalprot_mod0,CAMP
globalprot_mod0,TMPRSS12
globalprot_mod0,CD59
globalprot_mod1,ADAMDEC1
globalprot_mod1,TGOLN2
globalprot_mod1,SUSD5
globalprot_mod1,IL18BP
globalprot_mod1,F8
globalprot_mod1,PDGFB
globalprot_mod1,PIGR
globalprot_mod1,HLA-B
globalprot_mod1,COL1A1
globalprot_mod1,COL3A1
globalprot_mod1,APOE
globalprot_mod1,FN1
globalprot_mod1,AMBP
globalprot_mod1,CD74
globalprot_mod1,CHGB
globalprot_mod1,REG1A
globalprot_mod1,APOA4
globalprot_mod1,COL1A2
globalprot_mod1,MMP2
globalprot_mod1,MGP
globalprot_mod1,COL4A2
globalprot_mod1,CSF1
globalprot_mod1,C4A
globalprot_mod1,C4B_2
globalprot_mod1,HLA-C
globalprot_mod1,SPP1
globalprot_mod1,CHGA
globalprot_mod1,SCGB1A1
globalprot_mod1,COL6A3
globalprot_mod1,BMP1
globalprot_mod1,ELN
globalprot_mod1,GM2A
globalprot_mod1,PI3
globalprot_mod1,OGN
globalprot_mod1,IGFBP4
globalprot_mod1,PTPRG
globalprot_mod1,IGFBP6
globalprot_mod1,IGFBP5
globalprot_mod1,FAS
globalprot_mod1,LOX
globalprot_mod1,PTPRM
globalprot_mod1,MAN1A1
globalprot_mod1,ADM
globalprot_mod1,FLT4
globalprot_mod1,PTGDS
globalprot_mod1,REG1B
globalprot_mod1,MMP14
globalprot_mod1,GP2
globalprot_mod1,CDH13
globalprot_mod1,B2M
globalprot_mod1,NPC2
globalprot_mod1,LCN2
globalprot_mod1,DCD
globalprot_mod1,GUCA2A
globalprot_mod1,NUCB1
globalprot_mod1,AHNAK
globalprot_mod1,SPARCL1
globalprot_mod1,LTBP1
globalprot_mod1,SLC39A14
globalprot_mod1,PCOLCE
globalprot_mod1,CST6
globalprot_mod1,ADIRF
globalprot_mod1,IGFBP7
globalprot_mod1,DMKN
globalprot_mod1,SBSN
globalprot_mod1,CCDC80
globalprot_mod1,SULF2
globalprot_mod1,RTKN2
globalprot_mod1,CD99L2
globalprot_mod1,PIK3IP1
globalprot_mod1,PRAP1
globalprot_mod1,SDF4
globalprot_mod1,EMILIN2
globalprot_mod1,YIPF3
globalprot_mod1,SLC38A10
globalprot_mod1,MEPE
globalprot_mod1,FCGR2C
globalprot_mod1,LTBP2
globalprot_mod1,LAIR1
globalprot_mod1,SPINK5
globalprot_mod1,RNASE6
globalprot_mod1,TWSG1
globalprot_mod1,ITGA7
globalprot_mod1,SERPINA2
globalprot_mod1,PRH2
globalprot_mod1,NBL1
globalprot_mod2,IGKV3-7
globalprot_mod2,IGLV8-61
globalprot_mod2,IGLV2-18
globalprot_mod2,IGKV3D-11
globalprot_mod2,IGHV3-15
globalprot_mod2,IGKV1D-13
globalprot_mod2,IGHV1-69D
globalprot_mod2,IGHV1-18
globalprot_mod2,IGHV1-24
globalprot_mod2,IGHV5-51
globalprot_mod2,IGHV5-10-1
globalprot_mod2,SERPINA1
globalprot_mod2,SERPINA3
globalprot_mod2,JCHAIN
globalprot_mod2,IGKV1-5
globalprot_mod2,IGKV3-20
globalprot_mod2,IGLV1-51
globalprot_mod2,IGLV1-40
globalprot_mod2,IGLV2-14
globalprot_mod2,IGLV2-11
globalprot_mod2,IGLV2-8
globalprot_mod2,IGLV3-19
globalprot_mod2,IGHV1-69
globalprot_mod2,IGKC
globalprot_mod2,IGHG1
globalprot_mod2,IGHG2
globalprot_mod2,IGHG3
globalprot_mod2,IGHG4
globalprot_mod2,IGHA1
globalprot_mod2,IGHA2
globalprot_mod2,SERPIND1
globalprot_mod2,IGKV4-1
globalprot_mod2,IGHV1-8
globalprot_mod2,AFM
globalprot_mod2,IGLV3-9
globalprot_mod2,IGLV3-25
globalprot_mod2,IGLV3-21
globalprot_mod2,IGLV3-10
globalprot_mod2,IGLV3-27
globalprot_mod2,IGLV3-12
globalprot_mod2,IGKV3D-15
globalprot_mod2,IGHV4-61
globalprot_mod2,IGHV4-39
globalprot_mod2,IGHV4-34
globalprot_mod2,IGHV4-38-2
globalprot_mod2,IGKV1-8
globalprot_mod2,IGKV1-27
globalprot_mod2,IGKV1D-8
globalprot_mod2,IGKV2-24
globalprot_mod2,IGKV1-39
globalprot_mod2,IGKV1-12
globalprot_mod2,IGLV1-47
globalprot_mod2,IGHV3-23
globalprot_mod2,IGHV3-48
globalprot_mod2,IGHV3-7
globalprot_mod2,IGHV3-53
globalprot_mod2,IGHV3-21
globalprot_mod2,IGHV3-43
globalprot_mod2,IGHV3-30-3
globalprot_mod2,IGHV3-72
globalprot_mod2,IGHV3-64D
globalprot_mod2,IGHV3-74
globalprot_mod2,IGHV3OR16-10
globalprot_mod2,IGHV3-11
globalprot_mod2,IGHV3-20
globalprot_mod2,IGHV3OR15-7
globalprot_mod2,IGHV3OR16-8
globalprot_mod2,IGLC2
globalprot_mod2,IGLL5
globalprot_mod2,IGLC7
globalprot_mod2,SIRPA
globalprot_mod2,IGKV2-28
globalprot_mod2,IGKV1D-33
globalprot_mod2,IGKV3D-20
globalprot_mod2,IGKV2-30
globalprot_mod2,IGKV2D-29
globalprot_mod2,IGKV2-29
globalprot_mod2,IGLV6-57
globalprot_mod2,MAEL
globalprot_mod3,APOM
globalprot_mod3,CP
globalprot_mod3,F2
globalprot_mod3,F9
globalprot_mod3,CFB
globalprot_mod3,AGT
globalprot_mod3,IGHM
globalprot_mod3,HBD
globalprot_mod3,FGB
globalprot_mod3,CRP
globalprot_mod3,APCS
globalprot_mod3,C1QA
globalprot_mod3,C1QB
globalprot_mod3,C1QC
globalprot_mod3,C9
globalprot_mod3,LRG1
globalprot_mod3,RBP4
globalprot_mod3,ALB
globalprot_mod3,GC
globalprot_mod3,TF
globalprot_mod3,KLKB1
globalprot_mod3,VTN
globalprot_mod3,A1BG
globalprot_mod3,SERPING1
globalprot_mod3,CFI
globalprot_mod3,CLEC3B
globalprot_mod3,C2
globalprot_mod3,PROS1
globalprot_mod3,ASGR2
globalprot_mod3,GP1BA
globalprot_mod3,CD14
globalprot_mod3,CFH
globalprot_mod3,SAA1
globalprot_mod3,SAA2
globalprot_mod3,CLU
globalprot_mod3,MBL2
globalprot_mod3,LBP
globalprot_mod3,VCAM1
globalprot_mod3,ITIH2
globalprot_mod3,ITIH1
globalprot_mod3,GPX3
globalprot_mod3,CPN2
globalprot_mod3,AZGP1
globalprot_mod3,SAA4
globalprot_mod3,SERPINF1
globalprot_mod3,BTD
globalprot_mod3,LUM
globalprot_mod3,PLTP
globalprot_mod3,GPLD1
globalprot_mod3,CFHR3
globalprot_mod3,ITIH3
globalprot_mod3,LGALS3BP
globalprot_mod3,APOF
