Module (or Feature),Analysis,P value,Direction
Proteomics_global.globalprot_mod1,Visit 1 analysis - overall,7.440490786981965e-8,Severe
Proteomics_global.globalprot_mod2,Visit 1 analysis - overall,0.039820800469751026,Severe
Proteomics_global.globalprot_mod3,Visit 1 analysis - overall,5.903842524215121e-12,Severe
Proteomics_global.globalprot_mod4,Visit 1 analysis - overall,2.9817180511431216e-20,Severe
Proteomics_global.globalprot_mod5,Visit 1 analysis - overall,0.002164362022197064,Severe
Proteomics_global.globalprot_mod6,Visit 1 analysis - overall,4.284378048875176e-15,Mild
Proteomics_global.globalprot_mod7,Visit 1 analysis - overall,0.0029923201972023128,Mild
Proteomics_global.globalprot_mod0,Visit 1 analysis - 1|2,0.02439234587343715,Mild
Proteomics_global.globalprot_mod0,Visit 1 analysis - 1|4,0.02019355305214723,Mild
Proteomics_global.globalprot_mod1,Visit 1 analysis - 1|4,0.004034983164947577,Severe
Proteomics_global.globalprot_mod1,Visit 1 analysis - 1|5,3.2173688904847466e-8,Severe
Proteomics_global.globalprot_mod1,Visit 1 analysis - 2|4,0.026034320551610615,Severe
Proteomics_global.globalprot_mod1,Visit 1 analysis - 2|5,7.73942763466128e-7,Severe
Proteomics_global.globalprot_mod1,Visit 1 analysis - 3|5,4.9475139847661876e-5,Severe
Proteomics_global.globalprot_mod1,Visit 1 analysis - 4|5,0.0028705482680075134,Severe
Proteomics_global.globalprot_mod2,Visit 1 analysis - 1|2,0.020563706754824454,Severe
Proteomics_global.globalprot_mod2,Visit 1 analysis - 1|4,0.0028464403728337157,Severe
Proteomics_global.globalprot_mod2,Visit 1 analysis - 2|4,0.044262264372406886,Severe
Proteomics_global.globalprot_mod2,Visit 1 analysis - 3|4,0.001436471920996431,Severe
Proteomics_global.globalprot_mod2,Visit 1 analysis - 4|5,0.01622074869260416,Mild
Proteomics_global.globalprot_mod3,Visit 1 analysis - 1|2,1.044625495753678e-7,Severe
Proteomics_global.globalprot_mod3,Visit 1 analysis - 1|3,1.0975009693185497e-6,Severe
Proteomics_global.globalprot_mod3,Visit 1 analysis - 1|4,4.920660409458628e-11,Severe
Proteomics_global.globalprot_mod3,Visit 1 analysis - 1|5,9.166011870389037e-5,Severe
Proteomics_global.globalprot_mod3,Visit 1 analysis - 2|4,0.001139278069764438,Severe
Proteomics_global.globalprot_mod3,Visit 1 analysis - 3|4,0.0013492954556820495,Severe
Proteomics_global.globalprot_mod4,Visit 1 analysis - 1|2,7.494464932772862e-6,Severe
Proteomics_global.globalprot_mod4,Visit 1 analysis - 1|3,4.6255860046786587e-4,Severe
Proteomics_global.globalprot_mod4,Visit 1 analysis - 1|4,1.7309512049893244e-13,Severe
Proteomics_global.globalprot_mod4,Visit 1 analysis - 1|5,6.010375111989318e-12,Severe
Proteomics_global.globalprot_mod4,Visit 1 analysis - 2|4,1.9052043618610795e-5,Severe
Proteomics_global.globalprot_mod4,Visit 1 analysis - 2|5,1.1448379181834406e-6,Severe
Proteomics_global.globalprot_mod4,Visit 1 analysis - 3|4,2.7674906945886572e-5,Severe
Proteomics_global.globalprot_mod4,Visit 1 analysis - 3|5,2.6806920545748154e-6,Severe
Proteomics_global.globalprot_mod4,Visit 1 analysis - 4|5,0.010381384922508959,Severe
Proteomics_global.globalprot_mod5,Visit 1 analysis - 1|4,0.00422238116543312,Severe
Proteomics_global.globalprot_mod5,Visit 1 analysis - 2|4,0.0013896279100465416,Severe
Proteomics_global.globalprot_mod5,Visit 1 analysis - 3|4,0.04796051139576801,Severe
Proteomics_global.globalprot_mod6,Visit 1 analysis - 1|2,1.2911106800191438e-5,Mild
Proteomics_global.globalprot_mod6,Visit 1 analysis - 1|3,4.8119068253116005e-4,Mild
Proteomics_global.globalprot_mod6,Visit 1 analysis - 1|4,7.8514730911055e-12,Mild
Proteomics_global.globalprot_mod6,Visit 1 analysis - 1|5,2.1314429051786002e-8,Mild
Proteomics_global.globalprot_mod6,Visit 1 analysis - 2|4,1.1096877648466487e-4,Mild
Proteomics_global.globalprot_mod6,Visit 1 analysis - 2|5,1.6302838130739854e-5,Mild
Proteomics_global.globalprot_mod6,Visit 1 analysis - 3|4,3.148960282440506e-4,Mild
Proteomics_global.globalprot_mod6,Visit 1 analysis - 3|5,8.367607360908578e-4,Mild
Proteomics_global.globalprot_mod7,Visit 1 analysis - 1|2,0.008187378280527121,Mild
Proteomics_global.globalprot_mod7,Visit 1 analysis - 1|3,0.002337041097860292,Mild
Proteomics_global.globalprot_mod7,Visit 1 analysis - 1|4,2.3431475236534551e-4,Mild
globalprot_mod0,Longitudinal analysis - overall shape,3.6293575278306714e-11,Severe
globalprot_mod1,Longitudinal analysis - overall shape,6.012024882255167e-10,Severe
