Module,Feature
Targetedprot_mod0,IGLV3-10
Targetedprot_mod0,IGHV6-1
Targetedprot_mod0,IGHV3-72
Targetedprot_mod0,IGKV6-21
Targetedprot_mod0,IGHV2-70D
Targetedprot_mod0,PER2
Targetedprot_mod0,ATRN
Targetedprot_mod0,C1R
Targetedprot_mod0,A2M
Targetedprot_mod0,CST3
Targetedprot_mod0,HBD
Targetedprot_mod0,APOA2
Targetedprot_mod0,AHSG
Targetedprot_mod0,TTR
Targetedprot_mod0,LTF
Targetedprot_mod0,HPX
Targetedprot_mod0,PROC
Targetedprot_mod0,GAPDH
Targetedprot_mod0,SERPINA7
Targetedprot_mod0,C8A
Targetedprot_mod0,THBS1
Targetedprot_mod0,SERPINA6
Targetedprot_mod0,LPA
Targetedprot_mod0,CLU
Targetedprot_mod0,PON1
Targetedprot_mod0,PRDX2
Targetedprot_mod0,MAN1A1
Targetedprot_mod0,SAA4
Targetedprot_mod0,HBB
Targetedprot_mod0,HBG1
Targetedprot_mod0,HBA1
Targetedprot_mod0,LGALS3BP
Targetedprot_mod0,KMT2C
Targetedprot_mod0,SMC3
Targetedprot_mod1,ALB
Targetedprot_mod1,IGLV7-46
Targetedprot_mod1,IGLV5-52
Targetedprot_mod1,IGHV3-15
Targetedprot_mod1,KPNA5
Targetedprot_mod1,PGLYRP1
Targetedprot_mod1,FCN3
Targetedprot_mod1,ALDH1A1
Targetedprot_mod1,AK1
Targetedprot_mod1,F9
Targetedprot_mod1,CFD
Targetedprot_mod1,C5
Targetedprot_mod1,JCHAIN
Targetedprot_mod1,HBE1
Targetedprot_mod1,SPTA1
Targetedprot_mod1,APOC2
Targetedprot_mod1,CRP
Targetedprot_mod1,PPBP
Targetedprot_mod1,PF4
Targetedprot_mod1,TF
Targetedprot_mod1,KLKB1
Targetedprot_mod1,CAT
Targetedprot_mod1,VWF
Targetedprot_mod1,APOD
Targetedprot_mod1,ITGB3
Targetedprot_mod1,ICAM1
Targetedprot_mod1,GSN
Targetedprot_mod1,C2
Targetedprot_mod1,PROS1
Targetedprot_mod1,C8B
Targetedprot_mod1,C8G
Targetedprot_mod1,BPGM
Targetedprot_mod1,ITGA2B
Targetedprot_mod1,VIM
Targetedprot_mod1,CALM1
Targetedprot_mod1,F5
Targetedprot_mod1,PRG2
Targetedprot_mod1,LCP1
Targetedprot_mod1,HSP90B1
Targetedprot_mod1,CPN1
Targetedprot_mod1,CPN2
Targetedprot_mod1,PSMB4
Targetedprot_mod1,TKT
Targetedprot_mod1,SERPINA4
Targetedprot_mod1,IGFALS
Targetedprot_mod1,PSMB3
Targetedprot_mod1,SELENOP
Targetedprot_mod1,B2M
Targetedprot_mod1,PSMC6
Targetedprot_mod1,RAN
Targetedprot_mod1,INSM1
Targetedprot_mod1,EFEMP1
Targetedprot_mod1,HABP2
Targetedprot_mod1,TGFBI
Targetedprot_mod1,ISLR2
Targetedprot_mod1,RNF180
Targetedprot_mod1,ACOT4
Targetedprot_mod1,PCSK9
Targetedprot_mod1,OIT3
Targetedprot_mod1,TDRD1
Targetedprot_mod1,RPAP3
Targetedprot_mod1,TLN1
Targetedprot_mod2,IGLV8-61
Targetedprot_mod2,IGKV1-27
Targetedprot_mod2,IGKV3D-15
Targetedprot_mod2,IGHV3-49
Targetedprot_mod2,IGLV1-36
Targetedprot_mod2,IGHV2-26
Targetedprot_mod2,IGLV9-49
Targetedprot_mod2,IGKV3D-20
Targetedprot_mod2,IGKV2-24
Targetedprot_mod2,IGHV3-64D
Targetedprot_mod2,IGLC7
Targetedprot_mod2,IGLL5
Targetedprot_mod2,CD5L
Targetedprot_mod2,LDHA
Targetedprot_mod2,F8
Targetedprot_mod2,IGKV1-33
Targetedprot_mod2,IGKV1D-16
Targetedprot_mod2,IGKV1-5
Targetedprot_mod2,IGLV3-19
Targetedprot_mod2,IGKC
Targetedprot_mod2,IGHG1
Targetedprot_mod2,IGHG2
Targetedprot_mod2,IGHG3
Targetedprot_mod2,IGHG4
Targetedprot_mod2,IGHM
Targetedprot_mod2,IGHA1
Targetedprot_mod2,IGHA2
Targetedprot_mod2,APOC3
Targetedprot_mod2,IGLV7-43
Targetedprot_mod2,IGKV4-1
Targetedprot_mod2,HSPA8
Targetedprot_mod2,PPIA
Targetedprot_mod2,APOF
Targetedprot_mod2,FLOT2
Targetedprot_mod2,ATAD2
Targetedprot_mod2,CFHR5
Targetedprot_mod2,TRIM33
Targetedprot_mod2,FCGBP
Targetedprot_mod3,IGKV1D-8
Targetedprot_mod3,IGKV2D-26
Targetedprot_mod3,IGHV1-58
Targetedprot_mod3,SIGLEC16
Targetedprot_mod3,APOL1
Targetedprot_mod3,CP
Targetedprot_mod3,HP
Targetedprot_mod3,HPR
Targetedprot_mod3,F10
Targetedprot_mod3,CFB
Targetedprot_mod3,SERPINA1
Targetedprot_mod3,SERPINA3
Targetedprot_mod3,FGA
Targetedprot_mod3,FGB
Targetedprot_mod3,FGG
Targetedprot_mod3,C9
Targetedprot_mod3,LRG1
Targetedprot_mod3,ORM1
Targetedprot_mod3,C4BPA
Targetedprot_mod3,APOA4
Targetedprot_mod3,CSF1R
