Module,Short Name,Annotation resource,Resource ID,P value,Adj. p value,Important features
Olink.Olink_mod0,Others,ImmuneXpresso,B cell/cell,0.004981087860701969,1,IL4;IL2;IL5;IL13
Olink.Olink_mod0,Others,ImmuneXpresso,basophil/cell,0.006058370757202048,1,IL4;IL13
Olink.Olink_mod0,Others,ImmuneXpresso,CD103-positive dendritic cell/cell,0.04895104895104885,1,IL2
Olink.Olink_mod0,Others,ImmuneXpresso,"CD4-positive, alpha-beta memory T cell/cell",0.04895104895104885,1,IL4
Olink.Olink_mod0,Others,ImmuneXpresso,"CD4-positive, alpha-beta T cell/cell",0.030765424317471278,1,IL2;IL4;IL5
Olink.Olink_mod0,Others,ImmuneXpresso,"CD8-positive, alpha-beta T cell/cell",0.007548298977570267,1,IL2;IL4;IL13
Olink.Olink_mod0,Others,ImmuneXpresso,"effector memory CD4-positive, alpha-beta T cell/cell",0.04895104895104885,1,IL4
Olink.Olink_mod0,Others,ImmuneXpresso,helper T cell/cell,0.0023527215793692877,1,IL2;IL4;IL5
Olink.Olink_mod0,Others,ImmuneXpresso,lymphocyte/cell,0.0030751472056773166,1,IL2;IL4;IL5;IL33
Olink.Olink_mod0,Others,ImmuneXpresso,mast cell/cell,0.02092867668219286,1,IL4;IL33;IL13
Olink.Olink_mod0,Others,ImmuneXpresso,mature NK T cell/cell,0.011829644733450556,1,IL4;IL13
Olink.Olink_mod0,Others,ImmuneXpresso,naive B cell/cell,0.04895104895104885,1,IL4
Olink.Olink_mod0,Others,ImmuneXpresso,naive T cell/cell,0.006058370757202048,1,IL2;IL4
Olink.Olink_mod0,Others,ImmuneXpresso,"naive thymus-derived CD4-positive, alpha-beta T cell/cell",0.04895104895104885,1,IL2
Olink.Olink_mod0,Others,ImmuneXpresso,T cell/cell,0.011037840154438195,1,IL2;IL4;IL5;IL13
Olink.Olink_mod0,Others,ImmuneXpresso,T-helper 1 cell/cell,0.02818469664841691,1,IL4;IL13
Olink.Olink_mod0,Others,ImmuneXpresso,T-helper 2 cell/cell,2.4179710976538063e-4,0.7667386350660219,IL4;IL5;IL33;IL13
Olink.Olink_mod0,Others,ImmuneXpresso,thymocyte/cell,0.02818469664841691,1,IL2;IL4
Olink.Olink_mod0,Others,ImmuneXpresso,alternatively activated macrophage/cytoPos,0.02818469664841691,1,IL4;IL33
Olink.Olink_mod0,Others,ImmuneXpresso,cholangiocyte/cytoPos,0.04895104895104885,1,IL33
Olink.Olink_mod0,Others,ImmuneXpresso,decidual natural killer cell/cytoPos,0.04895104895104885,1,IL2
Olink.Olink_mod0,Others,ImmuneXpresso,naive B cell/cytoPos,0.04895104895104885,1,IL2
Olink.Olink_mod0,Others,ImmuneXpresso,"naive thymus-derived CD4-positive, alpha-beta T cell/cytoPos",0.04895104895104885,1,IL4
Olink.Olink_mod0,Others,ImmuneXpresso,natural T-regulatory cell/cytoPos,0.04895104895104885,1,IL2
Olink.Olink_mod0,Others,ImmuneXpresso,pro-B cell/cytoPos,0.04895104895104885,1,IL4
Olink.Olink_mod0,Others,ImmuneXpresso,regulatory T cell/cytoPos,0.03851748667603593,1,IL4;IL5
Olink.Olink_mod0,Others,ImmuneXpresso,stromal cell/cytoPos,0.019247876990690815,1,IL1A;IL33
Olink.Olink_mod0,Others,ImmuneXpresso,B cell/cytoNeg,0.04281838536872521,1,IL2;IL13;IL1A
Olink.Olink_mod0,Others,ImmuneXpresso,B-1 B cell/cytoNeg,0.002068354181030238,1,IL5;IL33
Olink.Olink_mod0,Others,ImmuneXpresso,mature eosinophil/cytoNeg,0.04895104895104885,1,IL5
Olink.Olink_mod0,Others,ImmuneXpresso,multinucleated giant cell/cytoNeg,0.04895104895104885,1,IL13
Olink.Olink_mod0,Others,ImmuneXpresso,myeloid suppressor cell/cytoNeg,0.04895104895104885,1,IL4
Olink.Olink_mod0,Others,ImmuneXpresso,naive B cell/cytoNeg,0.04895104895104885,1,IL4
Olink.Olink_mod0,Others,ImmuneXpresso,odontoclast/cytoNeg,0.04895104895104885,1,IL4
