Module,Feature
Olink_mod0,IL2RB
Olink_mod0,IL1A
Olink_mod0,IL2
Olink_mod0,TSLP
Olink_mod0,IL10RA
Olink_mod0,IL22RA1
Olink_mod0,NGF
Olink_mod0,IL13
Olink_mod0,IL20
Olink_mod0,IL33
Olink_mod0,FGF19
Olink_mod0,IL4
Olink_mod0,TNFSF12
Olink_mod0,IL5
Olink_mod1,VEGFA
Olink_mod1,CD8A
Olink_mod1,GDNF
Olink_mod1,CDCP1
Olink_mod1,PLAU
Olink_mod1,IL17C
Olink_mod1,IL17A
Olink_mod1,IL20RA
Olink_mod1,CXCL9
Olink_mod1,CST5
Olink_mod1,SLAMF1
Olink_mod1,FGF23
Olink_mod1,FGF5
Olink_mod1,LIFR
Olink_mod1,FGF21
Olink_mod1,CCL19
Olink_mod1,IL15RA
Olink_mod1,IL10RB
Olink_mod1,CD274
Olink_mod1,ARTN
Olink_mod1,MMP10
Olink_mod1,TNF
Olink_mod1,CD5
Olink_mod1,CCL3
Olink_mod1,CCL28
Olink_mod1,CD40
Olink_mod1,CCL25
Olink_mod1,CX3CL1
Olink_mod1,TNFRSF9
Olink_mod1,CSF1
Olink_mod2,CXCL8
Olink_mod2,CCL7
Olink_mod2,TNFRSF11B
Olink_mod2,IL6
Olink_mod2,CCL2
Olink_mod2,CXCL11
Olink_mod2,IL18
Olink_mod2,IL18R1
Olink_mod2,HGF
Olink_mod2,IL24
Olink_mod2,IL10
Olink_mod2,CCL23
Olink_mod2,CXCL10
Olink_mod2,IFNG
Olink_mod2,LIF
Olink_mod2,CCL8
Olink_mod2,CCL20
Olink_mod3,CD244
Olink_mod3,TNFSF10
Olink_mod3,CD6
Olink_mod3,KITLG
Olink_mod3,CCL11
Olink_mod3,TNFSF11
Olink_mod3,IL12B
Olink_mod3,FLT3LG
Olink_mod3,DNER
Olink_mod3,NTF3
Olink_mod3,LTA
Olink_mod4,AXIN1
Olink_mod4,EIF4EBP1
Olink_mod4,SIRT2
Olink_mod4,CASP8
Olink_mod4,SULT1A1
Olink_mod4,STAMBP
Olink_mod4,ADA
Olink_mod5,IL7
Olink_mod5,TGFB1
Olink_mod5,CXCL1
Olink_mod5,CCL13
Olink_mod5,MMP1
Olink_mod5,CXCL5
Olink_mod5,CXCL6
Olink_mod6,OSM
Olink_mod6,CCL4
Olink_mod6,TGFA
Olink_mod6,TNFSF14
Olink_mod6,S100A12
Olink_mod6,NRTN
