Module (or Feature),Analysis,P value,Adj. p value,Direction
Olink_mod1,Visit 1 analysis - overall,1.7180286718997523e-6,4.008733567766089e-6,Severe
Olink_mod2,Visit 1 analysis - overall,5.068732213543241e-19,3.548112549480269e-18,Severe
Olink_mod3,Visit 1 analysis - overall,2.527155018582334e-11,8.845042565038169e-11,Mild
Olink_mod4,Visit 1 analysis - overall,2.9134609202941127e-4,4.078845288411758e-4,Severe
Olink_mod6,Visit 1 analysis - overall,1.361918458417445e-5,2.383357302230529e-5,Severe
Olink_mod1,Visit 1 analysis - 1|4,0.010664341279571743,0.03245669085087052,Severe
Olink_mod1,Visit 1 analysis - 1|5,3.2610491470102734e-5,1.868299527920874e-4,Severe
Olink_mod1,Visit 1 analysis - 2|4,0.02694937524762608,0.06505021611495951,Severe
Olink_mod1,Visit 1 analysis - 2|5,1.1695481472683505e-5,9.096485589864949e-5,Severe
Olink_mod1,Visit 1 analysis - 3|4,0.00853744270704048,0.02716459043149243,Severe
Olink_mod1,Visit 1 analysis - 3|5,3.469699123281623e-5,1.868299527920874e-4,Severe
Olink_mod1,Visit 1 analysis - 4|5,0.022789175418723575,0.05723090714771454,Severe
Olink_mod2,Visit 1 analysis - 1|2,9.249894448251173e-7,9.249894448251174e-6,Severe
Olink_mod2,Visit 1 analysis - 1|3,0.04012714934888648,0.08777813920068918,Severe
Olink_mod2,Visit 1 analysis - 1|4,1.3747979616203587e-11,5.810620480686138e-10,Severe
Olink_mod2,Visit 1 analysis - 1|5,1.6601772801960394e-11,5.810620480686138e-10,Severe
Olink_mod2,Visit 1 analysis - 2|4,1.4719558010036702e-5,1.0303690607025692e-4,Severe
Olink_mod2,Visit 1 analysis - 2|5,7.856803673293198e-8,1.0999525142610477e-6,Severe
Olink_mod2,Visit 1 analysis - 3|4,3.779871206844996e-7,4.409849741319162e-6,Severe
Olink_mod2,Visit 1 analysis - 3|5,1.5520749572341846e-8,2.716131175159823e-7,Severe
Olink_mod2,Visit 1 analysis - 4|5,0.0491015952289509,0.1041548989705019,Severe
Olink_mod3,Visit 1 analysis - 1|2,2.576564511845679e-4,0.0010609383284070442,Mild
Olink_mod3,Visit 1 analysis - 1|3,0.002734519869130761,0.009570819541957664,Mild
Olink_mod3,Visit 1 analysis - 1|4,2.6950730253093643e-9,6.28850372572185e-8,Mild
Olink_mod3,Visit 1 analysis - 1|5,9.681771246151405e-6,8.47154984038248e-5,Mild
Olink_mod3,Visit 1 analysis - 2|4,3.290605290180279e-5,1.868299527920874e-4,Mild
Olink_mod3,Visit 1 analysis - 2|5,0.01167164938065111,0.03404231069356574,Mild
Olink_mod3,Visit 1 analysis - 3|4,7.609035514602123e-5,3.328953037638429e-4,Mild
Olink_mod3,Visit 1 analysis - 3|5,0.01815949748514533,0.04889095476769897,Mild
Olink_mod4,Visit 1 analysis - 1|4,0.0019076594297880159,0.007028218951850585,Severe
Olink_mod4,Visit 1 analysis - 1|5,0.0030925887240864356,0.01030862908028812,Severe
Olink_mod4,Visit 1 analysis - 2|4,0.0012231894428995649,0.0047568478334983075,Severe
Olink_mod4,Visit 1 analysis - 2|5,0.013925990603568951,0.03899277368999306,Severe
Olink_mod4,Visit 1 analysis - 3|4,0.029104707604369832,0.06791098441019627,Severe
Olink_mod6,Visit 1 analysis - 1|4,5.2430075800532705e-5,2.621503790026635e-4,Severe
Olink_mod6,Visit 1 analysis - 1|5,0.03819136112568569,0.0862385573805806,Severe
Olink_mod6,Visit 1 analysis - 2|4,6.229166529825819e-5,2.9069443805853826e-4,Severe
Olink_mod6,Visit 1 analysis - 3|4,0.022892362859085816,0.05723090714771454,Severe
Olink_mod0,Longitudinal analysis - overall shape,0.0044321789639926315,0.005170875457991404,Mild
Olink_mod1,Longitudinal analysis - overall shape,2.0100281656055089e-10,4.690065719746187e-10,Severe
Olink_mod1,Longitudinal analysis - overall average,5.557023153994111e-13,9.724790519489694e-13,Severe
Olink_mod2,Longitudinal analysis - overall shape,1.690100914235569e-10,4.690065719746187e-10,Severe
Olink_mod2,Longitudinal analysis - overall average,6.2816058231131925e-43,4.397124076179235e-42,Severe
Olink_mod3,Longitudinal analysis - overall shape,6.359856398294246e-13,4.451899478805972e-12,Mild
Olink_mod3,Longitudinal analysis - overall average,9.68316179544979e-19,3.389106628407427e-18,Mild
Olink_mod4,Longitudinal analysis - overall shape,0.012357312151746196,0.012357312151746196,Severe
Olink_mod4,Longitudinal analysis - overall average,1.8839025239263443e-6,2.6374635334968817e-6,Severe
Olink_mod5,Longitudinal analysis - overall shape,0.0016764056462597033,0.0023469679047635845,Severe
Olink_mod6,Longitudinal analysis - overall shape,1.8547622889049487e-5,3.2458340055836605e-5,Severe
Olink_mod6,Longitudinal analysis - overall average,1.3528780020104792e-13,3.1567153380244514e-13,Severe
Olink_mod0,Longitudinal analysis - 1|3 shape,0.0073774647743398425,0.02582112671018945,Mild
