"","Test","Factor","pval","adj_pval","direction"
"1","Visit1_ordinal","Factor1",2.0332097695122e-31,1.42324683865854e-30,"Severe"
"2","Visit1_ordinal","Factor2",0.0587644284852601,0.0685584998994701,"Mild"
"3","Visit1_ordinal","Factor3",1.94211172384706e-06,4.53159402230981e-06,"Severe"
"4","Visit1_ordinal","Factor4",0.144329632055406,0.144329632055406,"Severe"
"5","Visit1_ordinal","Factor5",7.5132609278716e-07,2.62964132475506e-06,"Severe"
"6","Visit1_ordinal","Factor6",0.000878650156071753,0.00123011021850045,"Severe"
"7","Visit1_ordinal","Factor7",3.56154687730693e-05,6.23270703528713e-05,"Severe"
"8","Visit1_1vs2","Factor1",6.25344595892647e-11,4.37741217124853e-10,"Severe"
"9","Visit1_1vs2","Factor2",0.00235317990696533,0.00823612967437867,"Mild"
"10","Visit1_1vs2","Factor3",0.124841988507795,0.21847347988864,"Mild"
"11","Visit1_1vs2","Factor4",0.457205024712519,0.640087034597526,"Severe"
"12","Visit1_1vs2","Factor5",0.668193880047617,0.779559526722219,"Mild"
"13","Visit1_1vs2","Factor6",0.820723757641692,0.820723757641692,"Severe"
"14","Visit1_1vs2","Factor7",0.0133424876388827,0.031132471157393,"Severe"
"15","Visit1_2vs3","Factor1",0.0105897452662315,0.0741282168636204,"Mild"
"16","Visit1_2vs3","Factor2",0.365478723990414,0.639587766983224,"Mild"
"17","Visit1_2vs3","Factor3",0.0869242599934996,0.304234909977249,"Severe"
"18","Visit1_2vs3","Factor4",0.92522530690574,0.92522530690574,"Severe"
"19","Visit1_2vs3","Factor5",0.529564910679525,0.681428257132872,"Severe"
"20","Visit1_2vs3","Factor6",0.133035897028187,0.31041709306577,"Severe"
"21","Visit1_2vs3","Factor7",0.584081363256748,0.681428257132872,"Severe"
"22","Visit1_3vs4","Factor1",7.31419549814983e-15,5.11993684870488e-14,"Severe"
"23","Visit1_3vs4","Factor2",0.897939656335454,0.897939656335454,"Mild"
"24","Visit1_3vs4","Factor3",1.91484209757989e-05,6.70194734152963e-05,"Severe"
"25","Visit1_3vs4","Factor4",0.214545077748897,0.300363108848455,"Mild"
"26","Visit1_3vs4","Factor5",0.000851185437092148,0.00198609935321501,"Severe"
"27","Visit1_3vs4","Factor6",0.0200240841678648,0.0350421472937634,"Severe"
"28","Visit1_3vs4","Factor7",0.346876669999284,0.404689448332498,"Severe"
"29","Visit1_4vs5","Factor1",0.0208837855116959,0.0487288328606237,"Severe"
"30","Visit1_4vs5","Factor2",0.0200787975261907,0.0487288328606237,"Severe"
"31","Visit1_4vs5","Factor3",0.933161097756756,0.933161097756756,"Mild"
"32","Visit1_4vs5","Factor4",0.00839324773861258,0.0487288328606237,"Severe"
"33","Visit1_4vs5","Factor5",0.0796686689685526,0.139420170694967,"Severe"
"34","Visit1_4vs5","Factor6",0.19845544377453,0.277837621284341,"Mild"
"35","Visit1_4vs5","Factor7",0.852035392651957,0.933161097756756,"Mild"
"36","Visit1_1vs5","Factor1",1.15966761497292e-21,8.11767330481045e-21,"Severe"
"37","Visit1_1vs5","Factor2",0.860032891390235,0.860032891390235,"Mild"
"38","Visit1_1vs5","Factor3",0.000313500335963841,0.000731500783915628,"Severe"
"39","Visit1_1vs5","Factor4",0.0462043766135183,0.0646861272589256,"Severe"
"40","Visit1_1vs5","Factor5",4.60723588745599e-05,0.00016125325606096,"Severe"
"41","Visit1_1vs5","Factor6",0.282787946935452,0.329919271424694,"Severe"
"42","Visit1_1vs5","Factor7",0.000549815223519113,0.000962176641158448,"Severe"
"43","Visit1_2vs5","Factor1",7.88908918288026e-11,5.52236242801618e-10,"Severe"
"44","Visit1_2vs5","Factor2",0.031352646821427,0.0548671319374972,"Severe"
"45","Visit1_2vs5","Factor3",8.78825122137073e-06,2.05059195165317e-05,"Severe"
"46","Visit1_2vs5","Factor4",0.201058730059991,0.201058730059991,"Severe"
"47","Visit1_2vs5","Factor5",3.61597676332768e-06,1.26559186716469e-05,"Severe"
"48","Visit1_2vs5","Factor6",0.0982832265832811,0.114663764347161,"Severe"
"49","Visit1_2vs5","Factor7",0.0434332099071543,0.060806493870016,"Severe"
"50","Visit1_3vs5","Factor1",1.12535670790729e-13,7.87749695535102e-13,"Severe"
"51","Visit1_3vs5","Factor2",0.172604036050394,0.201371375392126,"Severe"
"52","Visit1_3vs5","Factor3",0.00114051948785042,0.00266121213831764,"Severe"
"53","Visit1_3vs5","Factor4",0.12956899097248,0.181396587361473,"Severe"
"54","Visit1_3vs5","Factor5",0.000172856382960053,0.000604997340360184,"Severe"
"55","Visit1_3vs5","Factor6",0.482287221222953,0.482287221222953,"Severe"
"56","Visit1_3vs5","Factor7",0.127536129741002,0.181396587361473,"Severe"
"57","Visit1_1vs3","Factor1",0.00106458353638459,0.00745208475469216,"Severe"
"58","Visit1_1vs3","Factor2",0.00235428482091069,0.00823999687318742,"Mild"
"59","Visit1_1vs3","Factor3",0.883254205641858,0.883254205641858,"Mild"
"60","Visit1_1vs3","Factor4",0.37663860026649,0.527294040373086,"Severe"
"61","Visit1_1vs3","Factor5",0.796334103579783,0.883254205641858,"Severe"
"62","Visit1_1vs3","Factor6",0.128421044047743,0.22473682708355,"Severe"
"63","Visit1_1vs3","Factor7",0.00590998441231788,0.0137899636287417,"Severe"
"64","Visit1_1vs4","Factor1",1.39893106719375e-25,9.79251747035624e-25,"Severe"
"65","Visit1_1vs4","Factor2",0.0083423116567026,0.0097326969328197,"Mild"
"66","Visit1_1vs4","Factor3",3.26633528798215e-07,1.14321735079375e-06,"Severe"
"67","Visit1_1vs4","Factor4",0.746972631474626,0.746972631474626,"Severe"
"68","Visit1_1vs4","Factor5",0.000298534976113886,0.000696581610932401,"Severe"
"69","Visit1_1vs4","Factor6",0.00392719617330433,0.00549807464262607,"Severe"
"70","Visit1_1vs4","Factor7",0.00322981964575433,0.00549807464262607,"Severe"
"71","Visit1_2vs4","Factor1",3.43030339051209e-10,1.20060618667923e-09,"Severe"
"72","Visit1_2vs4","Factor2",0.374907531595336,0.437392120194559,"Mild"
"73","Visit1_2vs4","Factor3",3.26257812701238e-10,1.20060618667923e-09,"Severe"
"74","Visit1_2vs4","Factor4",0.51275777256405,0.51275777256405,"Mild"
"75","Visit1_2vs4","Factor5",5.84722190648179e-05,0.000136435177817908,"Severe"
"76","Visit1_2vs4","Factor6",0.00163961950487911,0.00286933413353844,"Severe"
"77","Visit1_2vs4","Factor7",0.0928372621887503,0.12997216706425,"Severe"
"78","Longitudinal_slope_global","Factor1",7.39114467696085e-29,5.17380127387259e-28,NA
"79","Longitudinal_slope_global","Factor2",0.0133507103734746,0.0267014207469492,NA
"80","Longitudinal_slope_global","Factor3",3.55445319123822e-06,1.77722659561911e-05,NA
"81","Longitudinal_slope_global","Factor4",0.0763065267057741,0.0763065267057741,NA
"82","Longitudinal_slope_global","Factor5",2.73792703207925e-06,1.64275621924755e-05,NA
"83","Longitudinal_slope_global","Factor6",2.25186884374655e-05,9.00747537498622e-05,NA
"84","Longitudinal_slope_global","Factor7",0.00189695458266106,0.00569086374798317,NA
"85","Longitudinal_intercept_global","Factor1",1.52960033199842e-84,1.07072023239889e-83,NA
"86","Longitudinal_intercept_global","Factor2",0.0229064998351323,0.0458129996702647,NA
"87","Longitudinal_intercept_global","Factor3",3.08899313706915e-15,1.85339588224149e-14,NA
"88","Longitudinal_intercept_global","Factor4",0.0349145100699488,0.0458129996702647,NA
"89","Longitudinal_intercept_global","Factor5",0.0015995207668436,0.00479856230053081,NA
"90","Longitudinal_intercept_global","Factor6",4.27672260481783e-12,2.13836130240891e-11,NA
"91","Longitudinal_intercept_global","Factor7",0.00080931349675093,0.00323725398700372,NA
"92","Longitudinal_p.slope.adj_1v2","Factor1",0.0131400821978287,0.0229951438462003,"Mild"
"93","Longitudinal_p.slope.adj_1v2","Factor2",0.00379423385477652,0.0218064408481574,"Severe"
"94","Longitudinal_p.slope.adj_1v2","Factor3",0.0243580309040965,0.034101243265735,"Severe"
"95","Longitudinal_p.slope.adj_1v2","Factor4",0.297948067887326,0.34760607920188,"Severe"
"96","Longitudinal_p.slope.adj_1v2","Factor5",0.613522780411763,0.613522780411763,"Severe"
"97","Longitudinal_p.slope.adj_1v2","Factor6",0.00934561750635316,0.0218064408481574,"Mild"
"98","Longitudinal_p.slope.adj_1v2","Factor7",0.00659398739492482,0.0218064408481574,"Mild"
"99","Longitudinal_p.slope.adj_1v3","Factor1",0.173987464267808,0.304478062468664,"Severe"
"100","Longitudinal_p.slope.adj_1v3","Factor2",0.0664179534444252,0.154975224703659,"Severe"
"101","Longitudinal_p.slope.adj_1v3","Factor3",0.814180336731515,0.814180336731515,"Severe"
"102","Longitudinal_p.slope.adj_1v3","Factor4",0.0232857322127761,0.154975224703659,"Severe"
"103","Longitudinal_p.slope.adj_1v3","Factor5",0.625156451233533,0.743701360892903,"Mild"
"104","Longitudinal_p.slope.adj_1v3","Factor6",0.637458309336774,0.743701360892903,"Severe"
"105","Longitudinal_p.slope.adj_1v3","Factor7",0.0546851816306579,0.154975224703659,"Mild"
"106","Longitudinal_p.slope.adj_1v4","Factor1",9.89418021456563e-05,0.000346296307509797,"Severe"
"107","Longitudinal_p.slope.adj_1v4","Factor2",0.00018312437624733,0.000427290211243769,"Severe"
"108","Longitudinal_p.slope.adj_1v4","Factor3",0.168691335711549,0.168691335711549,"Severe"
"109","Longitudinal_p.slope.adj_1v4","Factor4",0.115389776746558,0.161545687445181,"Severe"
"110","Longitudinal_p.slope.adj_1v4","Factor5",4.80714066931026e-06,3.36499846851718e-05,"Mild"
