"pathway","database","PPT:direction","PPT:pval","PPT:pval_adj","PPT:leading_edge","PPG:direction","PPG:pval","PPG:pval_adj","PPG:leading_edge","SPT:direction","SPT:pval","SPT:pval_adj","SPT:leading_edge","PMG:direction","PMG:pval","PMG:pval_adj","PMG:leading_edge","NGX:direction","NGX:pval","NGX:pval_adj","NGX:leading_edge","PGX:direction","PGX:pval","PGX:pval_adj","PGX:leading_edge","Joint:direction","Joint:pval","Joint:pval_adj","Joint:leading_edge"
"Platelet activation","kegg",1,0.00204540801422115,0.081816320568846,"FGG#FGB#FGA",1,0.00315047090327969,0.0368997720244691,"FGA#ACTB#ACTG1",NA,NA,NA,NA,-1,0.963783010514348,1,"arachidonate (20:4n6)",1,0.52335800714238,0.666926302392548,"FCER1G",1,0.0649413471576722,0.132572572599982,"MAPK14#FERMT3#PLA2G4A#FCER1G#MAPK12#PIK3CB#ACTB#GNAQ#P2RY1#TLN1#MAPK3#ADCY3#VASP#P2RX1#FCGR2A#ADCY4#MAPK1#GNAI3#ROCK1#MYL12A#STIM1",NA,0.00610099182432511,0.0243338409544921,NA
"Neutrophil extracellular trap formation","kegg",1,0.00204540801422115,0.081816320568846,"FGG#FGB#FGA",1,4.60010707303837e-09,6.04914080104546e-07,"FGA#ACTB#ACTG1#CTSG#H2AC20#H2AC1#H2AC8#FGB#H2BC10#H2BC18#H2BC5#H2BC14#H2BC3#H2BC13#FGG",NA,NA,NA,NA,1,1,1,"oleoyl-linoleoyl-glycerol (18:1/18:2) [1]",1,0.00262618981759988,0.0534506868758563,"TLR2#NFKB1#HDAC4#CR1#ITGAM#ATG7#HIST1H2AG#PRKCB#HIST1H2BF#AQP9#FCGR1A",1,5.43652027840125e-08,1.7461255756579e-06,"MAPK14#ITGAM#CR1#HIST1H2BK#PADI4#HIST1H4I#NCF4#FPR1#HIST1H2AI#H2AFJ#HIST1H2AJ#MAPK12#AQP9#FCGR1A#HIST1H2BD#HAT1#CYBA#TLR2#PIK3CB#H3F3A#FPR2#NCF1#H2AFZ#SIGLEC9#ACTB#CR1L#HIST1H2AH#NCF2#RAC1#HDAC4#ITGB2#HIST1H4H",NA,2.12060984041385e-08,7.62749264114313e-07,NA
"Acute myeloid leukemia","kegg",1,0.00865800865800903,0.13852813852814,"CSF1R#CD14",-1,0.00322697626069501,0.0368997720244691,"KIT#CSF1R",NA,NA,NA,NA,NA,NA,NA,NA,1,0.196525195960748,0.438694953563993,"NFKB1#ITGAM#FCGR1A",1,0.037474355444438,0.0879500178798035,"ITGAM#SPI1#CHUK#BCL2A1#FCGR1A#PIK3CB#CCNA2#PIM1#STAT3#KRAS#RAF1#MAPK3",NA,0.00876327847247577,0.0320090276836747,NA
"Transcriptional misregulation in cancer","kegg",1,0.00865800865800903,0.13852813852814,"CSF1R#CD14",-1,0.0998739656201878,0.287813216273697,"CSF1R#IGFBP3#TGFBR2#IGF1",1,0.159634047763017,0.334327911352734,"IL6",NA,NA,NA,NA,1,0.00497218621873585,0.074798975290548,"CDK14#NFKB1#IL1R2#ITGAM#TRAF1#BCL6#ETV5#BIRC3#ZEB1#FCGR1A",1,0.0172293169423802,0.0512423650441479,"PPARG#ITGAM#GADD45A#TFE3#HOXA9#MMP9#IL1R2#SPI1#GADD45G#BCL2A1#CDKN2C#FCGR1A#CDK14#BCL6",NA,0.0128145767270843,0.0411727604101689,NA
"Toll-like receptor signaling pathway","kegg",1,0.00865800865800903,0.13852813852814,"LBP#CD14",1,0.00361269023127575,0.0395890637843968,"SPP1#LBP#CD14",1,0.0350769782328796,0.22406832298137,"IL6#CXCL10#CXCL8#CXCL9#CD40#CASP8#TNF#CXCL11",NA,NA,NA,NA,1,0.00382198554758739,0.062971761879297,"TLR2#TLR5#NFKB1#MAP2K6#CCL3#CCL4#SPP1",1,0.0401333137588487,0.0916953195152502,"MAPK14#MAP2K6#CHUK#MAPK12#TLR2#PIK3CB#IFNAR1#LY96#RAC1#TBK1#FADD#MAPK3#MAP2K3#TLR8#MAP2K4#MAPK1#TLR4#NFKBIA#TLR5",NA,0.00707026052926113,0.0270259965840944,NA
"Epstein-Barr virus infection","kegg",-1,0.0113409219816548,0.13852813852814,"PSMC6#VIM#ICAM1#B2M",1,0.128187187261052,0.301010984371935,"VIM#B2M",1,0.00290785586340003,0.107590666945801,"IL6#CXCL10#CD40#CASP8#TNF",NA,NA,NA,NA,1,0.0392103561063357,0.224425241865855,"FAS#TLR2#NFKB1#MAP2K6#CD44",-1,0.0012598534973226,0.00724415760960498,"HLA-DPB1#HLA-DPA1#HLA-DRA#HLA-DMB#HLA-DRB1#MAP3K14#HLA-DMA#HLA-DQA1",NA,0.00397273514530668,0.0181386723081766,NA
"Parkinson disease","kegg",-1,0.0173160173160175,0.13852813852814,"PSMC6",1,0.997876366408145,1,"SLC39A14#HSPA5#ATP5F1B",NA,NA,NA,NA,1,1,1,"adenosine 5'-monophosphate (AMP)",-1,0.727029671800135,0.829331907982058,"CAMK2D",1,0.0047185125700685,0.0198522784960199,"TXN#NDUFB3#UBE2J1#SLC39A8#UCHL1#PSMD11#MAOB#TUBB4B#PINK1#PSMD2#TUBA4A#PSMD1#MAOA#PSMB6#ATP5E#MCU#COX6B1#UQCRH#PSMD12#NDUFB6#PSMC6#NDUFS1#MFN2#NDUFB9#APAF1#COX7B#UQCRHL#COX6A1#PSMB5#NDUFA1#UBE2G1#ATF6#SDHC#HTRA2#COX7A2#COX5B#GNAI3#UQCR10#LRRK2#PSMA6#ATP5J#ADRM1#UQCRC1#CALM3",NA,0.0187367900273906,0.0540486166148559,NA
"Huntington disease","kegg",-1,0.0173160173160175,0.13852813852814,"PSMC6",1,0.985005739313157,1,"GPX3",NA,NA,NA,NA,NA,NA,NA,NA,1,0.347907933208346,0.53986811228951,"SLC1A3",1,0.00658072299297552,0.0257399400617495,"PPARG#NDUFB3#WIPI1#SLC1A3#CLTC#HIP1#CREB5#ULK1#DCTN4#PSMD11#SOD2#TUBB4B#PSMD2#TUBA4A#PSMD1#TBPL1#PSMB6#ATP5E#NRBF2#GNAQ#COX6B1#POLR2J#UQCRH#PSMD12#NDUFB6#PSMC6#NDUFS1#NDUFB9#APAF1#COX7B#UQCRHL#COX6A1#PSMB5#NDUFA1#AP2S1#SDHC#SP1#CLTCL1#COX7A2#COX5B#GPX1#UQCR10#PSMA6#DNAH17#ATP5J#ADRM1#UQCRC1",NA,0.0192453746089778,0.0547388933550434,NA
"Human T-cell leukemia virus 1 infection","kegg",-1,0.0241691184482954,0.172598299533284,"TLN1#ICAM1#B2M#RAN",1,0.382755891314795,0.54120859900963,"B2M#HLA-A#HLA-B#HLA-C#HLA-E",1,0.266111113624965,0.434387259005457,"IL6",NA,NA,NA,NA,1,0.50364128512164,0.650223450194356,"IL1R1#NFKB1#IL1R2#E2F3",-1,1.7139273391642e-06,2.46377055004854e-05,"HLA-DPB1#HLA-DPA1#CD4#HLA-DRA#HLA-DMB#NFATC3#HLA-DRB1#ATM#ETS1",NA,8.56907517059685e-06,0.000106195324435611,NA
"Lipid and atherosclerosis","kegg",1,0.0330626320111956,0.172598299533284,"LBP#APOA4#CD14",1,0.178369664284653,0.366493919584873,"LBP#CD14#PYCARD#VCAM1#PTK2#HSPA5#HSPA1A#HSPA2#HSPA8#HSP90AB1#HSPA1L",1,0.108931679327376,0.295986743906219,"IL6#CXCL8#CCL2#CD40#CASP8#TNF#IL18",NA,NA,NA,NA,1,0.0159973843704263,0.14192551261968,"FAS#TLR2#CXCL1#NFKB1#MAP2K6#TANK#CCL3",1,0.0030082123354902,0.014617369799213,"PPARG#MAPK14#MAP2K6#ERO1A#MMP9#FAS#NCF4#CHUK#MAPK12#CYBA#SOD2#TLR2#LDLR#PIK3CB#IL18#LY96#NCF1#STAT3#NCF2#RAC1#KRAS#TBK1#HSPA1B#APAF1#MAPK3#MAP2K3#PYCARD#CXCL1#ATF6#PPP3R1#MAP2K4#HSPA6#CXCL3#MAPK1#TLR4#NFKBIA#CXCL2#VAV1#CALM3",NA,0.0113889798552558,0.0379997693247477,NA
