"Taxa","TG.adj.P","coefficient","Phylo_level","TG.adj.P.adj"
"Viruses",3.64816510334265e-09,4.28059129117242,"superkingdom",1.82408255167132e-08
"Orthornavirae",2.11104878022894e-09,4.41450256312751,"kingdom",2.74436341429762e-08
"Pisuviricota",1.23094612280994e-08,4.36489669794499,"phylum",9.10900130879355e-07
"Pisoniviricetes",8.13208189676118e-09,4.4341609500808,"class",1.39871808624292e-06
"Nidovirales",7.76705999516736e-09,4.4446263109726,"order",3.07575575808627e-06
"Coronaviridae",7.76705999516736e-09,4.4446263109726,"family",6.71850689581976e-06
"Betacoronavirus",7.76469244456734e-09,4.4446519387146,"genus",1.7462793307832e-05
"Archaea",0.15973444901869,-0.127724907690224,"superkingdom",0.277814975254873
"Archaea",0.15973444901869,-0.127724907690224,"kingdom",0.433391361397601
"Shotokuvirae",0.124321080915631,0.0394713782654409,"kingdom",0.433391361397601
"Viridiplantae",0.160644893255119,0.620170867458568,"kingdom",0.433391361397601
"Bacteria",0.384625679811084,-0.481287398552296,"superkingdom",0.480782099763854
"Metazoa",0.231592102745492,0.450620773680106,"kingdom",0.5017828892819
"Heunggongvirae",0.307375038825321,-0.246116740113428,"kingdom",0.53473114857372
"Viruses",0.329065322199212,-0.00295653812037718,"kingdom",0.53473114857372
"Bacteria",0.384625679811084,-0.481287398552296,"kingdom",0.540965941310294
"Fungi",0.499353176594118,-0.407000779288088,"kingdom",0.540965941310294
"Loebvirae",0.479286465107621,-0.000750279916131949,"kingdom",0.540965941310294
"Pararnavirae",0.430422852485029,-0.0242757514214943,"kingdom",0.540965941310294
"Aaosphaeria",0.368168952501729,-0.000411339066872126,"genus",0.727156202264936
"Abies",0.214760951830907,0.155229199929194,"genus",0.727156202264936
"Abiotrophia",0.279615365504632,-0.170676007311804,"genus",0.727156202264936
"Abrus",0.218411177068587,0.0782729056089384,"genus",0.727156202264936
"Absidia",0.214405117179668,0.00133767600076728,"genus",0.727156202264936
"Acalypha",0.504755584987306,-0.000526351071880339,"genus",0.727156202264936
"Acanthamoeba",0.292852392361194,0.0433275911113856,"genus",0.727156202264936
"Acaromyces",0.117234219536308,0.0917703839034774,"genus",0.727156202264936
"Acaryochloris",0.479286469604316,-0.00240422688650562,"genus",0.727156202264936
"Acetoanaerobium",0.0696457790927933,0.0511157170589018,"genus",0.727156202264936
"Acetobacterium",0.17826281555942,-0.0102000691178874,"genus",0.727156202264936
"Acholeplasma",0.479286471950554,-0.00392662090677277,"genus",0.727156202264936
"Acidaminococcus",0.335087468895053,0.0156105154806133,"genus",0.727156202264936
"Acidibrevibacterium",0.237609757538983,-0.0288195486824922,"genus",0.727156202264936
"Acidimangrovimonas",0.479286469604114,-0.00231152052160777,"genus",0.727156202264936
"Acidimicrobium",0.51892979347674,-0.000475087730938485,"genus",0.727156202264936
"Acidiphilium",0.416640851029361,-0.0169467945513978,"genus",0.727156202264936
"Acidisarcina",0.479286465108295,-0.000378930480776853,"genus",0.727156202264936
"Acidithiobacillus",0.468615121833695,-0.0311591610080305,"genus",0.727156202264936
"Acidobacterium",0.330830910951175,-0.0176182645269482,"genus",0.727156202264936
"Acidocella",0.315676872283178,-0.00863956247884985,"genus",0.727156202264936
"Acidomyces",0.479286469604856,-0.0310185632855631,"genus",0.727156202264936
"Acidothermus",0.479286456493983,-0.000143952400456542,"genus",0.727156202264936
"Acidovorax",0.338724142878748,-0.228629636338721,"genus",0.727156202264936
"Acremonium",0.318331294769667,-0.190885806960991,"genus",0.727156202264936
"Actaea",0.159406079327452,0.0262819160220756,"genus",0.727156202264936
"Actinia",0.518929796545918,-0.00216594967195326,"genus",0.727156202264936
"Actinidia",0.157709829317268,0.0153940432004856,"genus",0.727156202264936
"Actinoallomurus",0.256479766979132,0.0299908487586854,"genus",0.727156202264936
"Actinoalloteichus",0.475904825129541,-0.020160415013982,"genus",0.727156202264936
"Actinokineospora",0.479286473814121,-0.00622513091808924,"genus",0.727156202264936
"Actinomarinicola",0.433705301108933,0.0590693626265828,"genus",0.727156202264936
"Actinomyces",0.315162261110651,0.427466297673254,"genus",0.727156202264936
"Actinophytocola",0.47928646960419,-0.00181672644589054,"genus",0.727156202264936
"Actinopolymorpha",0.0930453348074758,0.0449423233466854,"genus",0.727156202264936
"Actinosynnema",0.153276054246688,0.0468856338746477,"genus",0.727156202264936
"Actinotalea",0.301548473612723,0.0474322070422622,"genus",0.727156202264936
"Actinotignum",0.165124165998581,-0.19104710381955,"genus",0.727156202264936
"Adenocalymma",0.476582094340308,-0.037252085852082,"genus",0.727156202264936
"Advenella",0.130725454574737,0.0302181303902938,"genus",0.727156202264936
"Aequorivita",0.14997672919304,0.0053788164500468,"genus",0.727156202264936
"Aeromonas",0.280737742020431,-0.176503696645932,"genus",0.727156202264936
"Afipia",0.155811946494627,-0.16754241265252,"genus",0.727156202264936
"Agaricus",0.518560281131082,-0.0385224458903165,"genus",0.727156202264936
"Aggregatibacter",0.301356568255965,0.151685588801844,"genus",0.727156202264936
"Aggregicoccus",0.471024141637671,-0.000287503631660209,"genus",0.727156202264936
"Agreia",0.149976426822951,0.000456312149942769,"genus",0.727156202264936
"Agrococcus",0.289668661347524,-0.125889394784915,"genus",0.727156202264936
"Agrocybe",0.518929796251729,-0.00254495918801142,"genus",0.727156202264936
