Compound_ID,Name,Platform,SUPER_PATHWAY,SUB_PATHWAY,HMDB,mets_list,coef,std,zval,pval,qval,outc,lowerCI,upperCI
X100000007,carnitine,Polar,Lipid,Carnitine Metabolism,HMDB0000062,X100000007,0.8524084870959555,0.14414539436117615,5.913532588909005,4.5833180177553e-9,2.153786840863873e-8,Treatment,0.5698887056107274,1.1349282685811837
X100000014,hippurate,Neg,Xenobiotics,Benzoate Metabolism,HMDB0000714,X100000014,0.295763463566565,0.0737069573909007,4.012693971316712,6.448066188702284e-5,1.54007531283881e-4,Treatment,0.15130048167037133,0.4402264454627587
X100000036,3-methyl-2-oxovalerate,Neg,Amino Acid,"Leucine, Isoleucine and Valine Metabolism",HMDB0000491,X100000036,-0.43464501132992406,0.14344739698830833,-3.029995806514006,0.0025080698429400536,0.004691470450548061,Treatment,-0.7157967431030277,-0.1534932795568204
X100000039,methionine sulfoxide,Pos Early,Amino Acid,"Methionine, Cysteine, SAM and Taurine Metabolism",HMDB0002005,X100000039,0.6220107953422638,0.1375171610054922,4.523150352976105,6.8181688791005535e-6,1.9223910303024974e-5,Treatment,0.3524821125153032,0.8915394781692243
X100000042,3-methylhistidine,Neg,Amino Acid,Histidine Metabolism,HMDB0000479,X100000042,-0.5332228160331964,0.06991335253948729,-7.626909548244457,5.5568746259903e-14,6.176679872735372e-13,Treatment,-0.6702504690490434,-0.39619516301734947
X100000054,5-hydroxylysine,Pos Early,Amino Acid,Lysine Metabolism,HMDB0000450,X100000054,0.618291947552656,0.13958043964823091,4.429646081577538,1.047261376964707e-5,2.8552692258754745e-5,Treatment,0.3447193128958569,0.8918645822094552
X100000096,4-guanidinobutanoate,Pos Early,Amino Acid,Guanidino and Acetamido Metabolism,HMDB0003464,X100000096,-0.019818445000302515,0.07219466436511097,-0.2745139848573081,0.7837460189000107,0.817698915025643,Treatment,-0.16131738703187726,0.12168049703127222
X100000257,glucuronate,Polar,Carbohydrate,Aminosugar Metabolism,HMDB0000127,X100000257,0.6604729619329724,0.08413945538601578,7.849741347894973,1.0632088717110212e-14,1.4291505298813262e-13,Treatment,0.49556265969756685,0.825383264168378
X100000258,glycerol 3-phosphate,Pos Early,Lipid,Glycerolipid Metabolism,HMDB0000126,X100000258,0.07960358347483153,0.08027551337798237,0.9916297028212449,0.32161664132687134,0.36989886059690524,Treatment,-0.07773353158647718,0.23694069853614025
X100000263,imidazole lactate,Pos Early,Amino Acid,Histidine Metabolism,HMDB0002320,X100000263,1.0316142686246386,0.12414018625874093,8.310075082975,3.0708081855053874e-16,5.3785670643094366e-15,Treatment,0.7883039745234123,1.274924562725865
X100000265,kynurenine,Pos Early,Amino Acid,Tryptophan Metabolism,HMDB0000684,X100000265,1.3409416739171174,0.14234837650457927,9.42014027026139,2.98487182339644e-20,1.0148564199547896e-18,Treatment,1.0619439827103945,1.6199393651238403
X100000269,glycerophosphorylcholine (GPC),Pos Early,Lipid,Phospholipid Metabolism,HMDB0000086,X100000269,-0.5175061991644069,0.12954503554324562,-3.9947976160896523,6.946748688736897e-5,1.6455822713483303e-4,Treatment,-0.7714098032051294,-0.26360259512368434
X100000282,N-acetylglutamate,Pos Early,Amino Acid,Glutamate Metabolism,HMDB0001138,X100000282,0.22783179834505185,0.0970359591971189,2.3479110242238574,0.019071948681579826,0.029474829780623366,Treatment,0.03764481311340065,0.4180187835767031
X100000406,ribitol,Polar,Carbohydrate,Pentose Metabolism,"HMDB0002917,HMDB0001851,HMDB0000568,HMDB0000508",X100000406,1.387973886907527,0.1678629296063155,8.26849555266732,4.259399397015685e-16,6.8387023652085165e-15,Treatment,1.0589685905397666,1.7169791832752876
