Trajectory,Group,Visit_1,Visit_2,Visit_3,Visit_4,Visit_5,Visit_6,Visit_7,Visit_8,Visit_9,Visit_10
1,Global,210,37,1,56,0,76,67,83,86,82
2,Global,231,177,84,47,0,70,94,97,124,108
3,Global,306,172,90,72,11,80,71,82,95,92
4,Global,211,193,178,134,88,78,33,41,49,45
5,Global,98,76,65,33,16,1,0,0,0,0
1,Targeted,10,10,0,10,0,10,0,0,0,0
2,Targeted,14,14,0,14,0,14,0,0,0,0
3,Targeted,21,21,0,21,0,21,0,0,0,0
4,Targeted,31,31,0,31,0,31,0,0,0,0
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
