	Ensembl_ID	Gene	Description	Chromosome_Name	Start_Position	End_Position	Strand	Gene_GC_Percent	Biotype	RefSeq_ID	Unigene_ID	Entrez_ID
ENSG00000000003	ENSG00000000003	TSPAN6	tetraspanin 6 [Source:HGNC Symbol;Acc:HGNC:11858]	X	100627109	100639991	-1	40.4	protein_coding	NM_003270, , NM_001278743, NM_001278740, NM_001278741, NM_001278742	Hs.43233	7105
ENSG00000000005	ENSG00000000005	TNMD	tenomodulin [Source:HGNC Symbol;Acc:HGNC:17757]	X	100584802	100599885	1	40.8	protein_coding	NM_022144, 	Hs.132957	64102
ENSG00000000419	ENSG00000000419	DPM1	dolichyl-phosphate mannosyltransferase subunit 1, catalytic [Source:HGNC Symbol;Acc:HGNC:3005]	20	50934867	50958555	-1	39.85	protein_coding	NM_001317036, NM_003859, , NM_001317035, NM_001317034		8813
ENSG00000000457	ENSG00000000457	SCYL3	SCY1 like pseudokinase 3 [Source:HGNC Symbol;Acc:HGNC:19285]	1	169849631	169894267	-1	40.14	protein_coding	NM_020423, , NM_181093		57147
ENSG00000000460	ENSG00000000460	C1orf112	chromosome 1 open reading frame 112 [Source:HGNC Symbol;Acc:HGNC:25565]	1	169662007	169854080	1	39.22	protein_coding	, NM_001320051, NM_001320050, NM_001320047, NM_001320048, NM_018186	Hs.443551	55732
ENSG00000000938	ENSG00000000938	FGR	FGR proto-oncogene, Src family tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:3697]	1	27612064	27635277	-1	52.97	protein_coding	NM_005248, , NM_001042729, NM_001042747	Hs.1422	2268
ENSG00000000971	ENSG00000000971	CFH	complement factor H [Source:HGNC Symbol;Acc:HGNC:4883]	1	196651878	196747504	1	35.2	protein_coding	NM_000186, NM_001014975, 	Hs.363396	3075
ENSG00000001036	ENSG00000001036	FUCA2	fucosidase, alpha-L- 2, plasma [Source:HGNC Symbol;Acc:HGNC:4008]	6	143494811	143511690	-1	39.69	protein_coding	NM_032020, 	Hs.17680	2519
ENSG00000001084	ENSG00000001084	GCLC	glutamate-cysteine ligase catalytic subunit [Source:HGNC Symbol;Acc:HGNC:4311]	6	53497341	53616970	-1	40.16	protein_coding	, NM_001498, NM_001197115	Hs.654465	2729
ENSG00000001167	ENSG00000001167	NFYA	nuclear transcription factor Y subunit alpha [Source:HGNC Symbol;Acc:HGNC:7804]	6	41072945	41099976	1	40	protein_coding	NM_002505, NM_021705		4800
ENSG00000001460	ENSG00000001460	STPG1	sperm tail PG-rich repeat containing 1 [Source:HGNC Symbol;Acc:HGNC:28070]	1	24356999	24416934	-1	44.09	protein_coding	NM_001199012, NM_178122, , NM_001199014, NM_001199013	Hs.680118, Hs.689256	90529
ENSG00000001461	ENSG00000001461	NIPAL3	NIPA like domain containing 3 [Source:HGNC Symbol;Acc:HGNC:25233]	1	24415794	24472976	1	45	protein_coding	NM_001322864, NM_001322866, NM_001322855, NM_001322856, NM_020448, NM_001322854, NM_001322859, NM_001322860, NM_001322861, NM_001322858, NM_001322862, NM_001322863, NM_001322868, NM_001322857, , NM_001322865, NM_001330409		57185
ENSG00000001497	ENSG00000001497	LAS1L	LAS1 like, ribosome biogenesis factor [Source:HGNC Symbol;Acc:HGNC:25726]	X	65512582	65534775	-1	50.45	protein_coding	NM_001170649, NM_031206, NM_001170650, 	Hs.522675	81887
ENSG00000001561	ENSG00000001561	ENPP4	ectonucleotide pyrophosphatase/phosphodiesterase 4 (putative) [Source:HGNC Symbol;Acc:HGNC:3359]	6	46129993	46146699	1	36.06	protein_coding	NM_014936	Hs.643497	22875
ENSG00000001617	ENSG00000001617	SEMA3F	semaphorin 3F [Source:HGNC Symbol;Acc:HGNC:10728]	3	50155045	50189075	1	57.74	protein_coding	, NM_001318798, NM_004186, NM_001318800	Hs.32981	6405
ENSG00000001626	ENSG00000001626	CFTR	cystic fibrosis transmembrane conductance regulator [Source:HGNC Symbol;Acc:HGNC:1884]	7	117465784	117715971	1	36.59	protein_coding	, NM_000492	Hs.489786, Hs.661104	1080
ENSG00000001629	ENSG00000001629	ANKIB1	ankyrin repeat and IBR domain containing 1 [Source:HGNC Symbol;Acc:HGNC:22215]	7	92246234	92401384	1	36.77	protein_coding	NM_019004, 	Hs.83293	54467
ENSG00000001630	ENSG00000001630	CYP51A1	cytochrome P450 family 51 subfamily A member 1 [Source:HGNC Symbol;Acc:HGNC:2649]	7	92112151	92142952	-1	39.91	protein_coding	NM_000786, NM_001146152, 	Hs.417077	1595
ENSG00000001631	ENSG00000001631	KRIT1	KRIT1, ankyrin repeat containing [Source:HGNC Symbol;Acc:HGNC:1573]	7	92198969	92246166	-1	36.48	protein_coding	, NM_194455, NM_004912, NM_194454, NM_001013406, NM_001350676, NM_001350675, NM_001350684, NM_001350689, NM_001350685, NM_001350674, NM_001350697, NM_194456	Hs.531987	889
ENSG00000002016	ENSG00000002016	RAD52	RAD52 homolog, DNA repair protein [Source:HGNC Symbol;Acc:HGNC:9824]	12	912077	990053	-1	45.17	protein_coding	NM_001297421, NM_134424, , NM_001297419, NM_001297422, NM_001297420	Hs.410355	5893
ENSG00000002079	ENSG00000002079	MYH16	myosin heavy chain 16 pseudogene [Source:HGNC Symbol;Acc:HGNC:31038]	7	99238829	99311130	1	49.89	transcribed_unitary_pseudogene			NA
ENSG00000002330	ENSG00000002330	BAD	BCL2 associated agonist of cell death [Source:HGNC Symbol;Acc:HGNC:936]	11	64269830	64284704	-1	53.92	protein_coding	NM_004322, NM_032989, 		572
ENSG00000002549	ENSG00000002549	LAP3	leucine aminopeptidase 3 [Source:HGNC Symbol;Acc:HGNC:18449]	4	17577192	17607972	1	44.17	protein_coding	, NM_015907	Hs.570791	51056
ENSG00000002586	ENSG00000002586	CD99	CD99 molecule (Xg blood group) [Source:HGNC Symbol;Acc:HGNC:7082]	X	2691179	2741309	1	47.39	protein_coding	NM_002414, NM_001321370, NM_001321369, NM_001122898, , NM_001321368, NM_001321367	Hs.680667	4267
ENSG00000002587	ENSG00000002587	HS3ST1	heparan sulfate-glucosamine 3-sulfotransferase 1 [Source:HGNC Symbol;Acc:HGNC:5194]	4	11393150	11429765	-1	43.92	protein_coding	NM_005114, 		9957
ENSG00000002726	ENSG00000002726	AOC1	amine oxidase, copper containing 1 [Source:HGNC Symbol;Acc:HGNC:80]	7	150824627	150861504	1	47.8	protein_coding	, NM_001091, NM_001272072		26
